Easting,Northing,RL
1055982.475,6500121.051,-8.999999999
1072990.253,6549346.98,-3.000000001
1063424.406,6549861.224,-2
1064015.762,6560971.495,-1.131486915
1051811.842,6511484.073,-1.000000001
1129708.284,6880676.037,-1
1040421.697,7357809.754,-0.999999999
1067309.34,6532939.108,-0.999999997
1068803.658,6560715.938,-0.732804225
935315.144,6355747.024,-0.117813478
1068207.228,6549605.196,0.00E+00
708776.533,7748519.403,0.00E+00
1073591.758,6560458.198,0.00E+00
943933.427,6338676.779,0
948610.858,6338463.973,0
953288.43,6338248.922,0
957966.142,6338031.624,0
962643.997,6337812.08,0
948864.565,6344014.934,0
953544.799,6343800.049,0
958225.175,6343582.92,0
962905.695,6343363.547,0
949117.929,6349565.881,0
953800.823,6349351.164,0
958483.86,6349134.204,0
963167.04,6348915.001,0
958742.195,6354685.476,0
963428.032,6354466.445,0
1073291.224,6554902.587,0
1078076.994,6554642.422,0
1082862.972,6554380.071,0
1087649.159,6554115.532,0
1092435.556,6553848.805,0
1097222.167,6553579.889,0
1102008.991,6553308.783,0
1106796.032,6553035.487,0
1111583.29,6552760.001,0
1116370.768,6552482.322,0
1121158.467,6552202.451,0
1125946.388,6551920.387,0
1130734.534,6551636.128,0
1135522.906,6551349.675,0
1140311.506,6551061.027,0
1145100.336,6550770.182,0
1149889.397,6550477.14,0
1154678.691,6550181.901,0
1159468.219,6549884.463,0
1164257.984,6549584.825,0
1169047.987,6549282.988,0
1083168.579,6559936.164,0
1087957.304,6559671.87,0
1092746.241,6559405.389,0
1097535.391,6559136.721,0
1102324.756,6558865.866,0
1107114.338,6558592.822,0
1111904.138,6558317.589,0
1116694.159,6558040.167,0
1121484.401,6557760.554,0
1126274.867,6557478.749,0
1131065.559,6557194.753,0
1135856.477,6556908.564,0
1140647.625,6556620.182,0
1145439.003,6556329.605,0
1150230.613,6556036.833,0
1155022.457,6555741.866,0
1159814.536,6555444.701,0
1164606.853,6555145.34,0
1169399.409,6554843.78,0
1083473.743,6565492.264,0
1088265.002,6565228.214,0
1093056.474,6564961.98,0
1097848.16,6564693.562,0
1102640.061,6564422.957,0
1107432.181,6564150.167,0
1112224.52,6563875.189,0
1117017.08,6563598.023,0
1121809.862,6563318.669,0
1126602.87,6563037.126,0
1131396.103,6562753.392,0
1136189.565,6562467.468,0
1140983.256,6562179.353,0
1145777.178,6561889.045,0
1150571.333,6561596.544,0
1155365.724,6561301.849,0
1160160.35,6561004.96,0
1164955.215,6560705.875,0
1169750.32,6560404.594,0
1078984.883,6571309.992,0
1083778.462,6571048.369,0
1088572.252,6570784.566,0
1093366.255,6570518.58,0
1098160.473,6570250.411,0
1102954.908,6569980.058,0
1107749.562,6569707.521,0
1112544.435,6569432.799,0
1117339.531,6569155.891,0
1122134.85,6568876.797,0
1126930.395,6568595.515,0
1131726.167,6568312.046,0
1136522.167,6568026.387,0
1141318.398,6567738.54,0
1146114.862,6567448.501,0
1150911.559,6567156.272,0
1155708.492,6566861.851,0
1160505.662,6566565.237,0
1165303.072,6566266.43,0
1170100.722,6565965.429,0
1079286.632,6576865.859,0
1084082.736,6576604.481,0
1088879.053,6576340.924,0
1093675.584,6576075.186,0
1098472.331,6575807.268,0
1103269.296,6575537.168,0
1108066.48,6575264.886,0
1112863.885,6574990.42,0
1117661.512,6574713.771,0
1122459.365,6574434.938,0
1127257.443,6574153.919,0
1132055.749,6573870.714,0
1136854.285,6573585.322,0
1141653.053,6573297.743,0
1146452.053,6573007.975,0
1151251.289,6572716.018,0
1156050.761,6572421.872,0
1160850.471,6572125.535,0
1165650.421,6571827.007,0
1170450.614,6571526.286,0
1079587.939,6582421.731,0
1084386.566,6582160.598,0
1089185.406,6581897.289,0
1093984.462,6581631.801,0
1098783.734,6581364.134,0
1103583.224,6581094.287,0
1108382.935,6580822.26,0
1113182.867,6580548.053,0
1117983.023,6580271.663,0
1122783.405,6579993.091,0
1127584.013,6579712.335,0
1132384.851,6579429.396,0
1137185.918,6579144.272,0
1141987.219,6578856.962,0
1146788.753,6578567.466,0
1151590.523,6578275.783,0
1156392.53,6577981.912,0
1161194.777,6577685.852,0
1165997.264,6577387.603,0
1170799.995,6577087.164,0
1075087.871,6588236.319,0
1079888.805,6587977.608,0
1084689.951,6587716.722,0
1089491.311,6587453.66,0
1094292.887,6587188.422,0
1099094.68,6586921.008,0
1103896.693,6586651.416,0
1108698.927,6586379.645,0
1113501.383,6586105.696,0
1118304.064,6585829.566,0
1123106.971,6585551.256,0
1127910.106,6585270.765,0
1132713.47,6584988.092,0
1137517.066,6584703.236,0
1142320.896,6584416.197,0
1147124.96,6584126.973,0
1151929.261,6583835.565,0
1156733.8,6583541.97,0
1161538.579,6583246.189,0
1166343.6,6582948.221,0
1171148.865,6582648.064,0
1080189.229,6593533.49,0
1084992.89,6593272.851,0
1089796.767,6593010.038,0
1094600.86,6592745.052,0
1099405.171,6592477.89,0
1104209.702,6592208.553,0
1109014.455,6591937.04,0
1113819.432,6591663.349,0
1118624.633,6591387.481,0
1123430.062,6591109.435,0
1128235.72,6590829.209,0
1133041.608,6590546.803,0
1137847.729,6590262.216,0
1142654.084,6589975.448,0
1147460.674,6589686.498,0
1152267.502,6589395.364,0
1157074.569,6589102.047,0
1161881.878,6588806.545,0
1166689.429,6588508.858,0
1171497.225,6588208.985,0
1080489.211,6599089.377,0
1085295.384,6598828.986,0
1090101.773,6598566.423,0
1094908.379,6598301.688,0
1099715.205,6598034.781,0
1104522.251,6597765.7,0
1109329.52,6597494.444,0
1114137.013,6597221.014,0
1118944.732,6596945.408,0
1123752.679,6596667.625,0
1128560.856,6596387.665,0
1133369.265,6596105.528,0
1138177.906,6595821.211,0
1142986.782,6595534.715,0
1147795.896,6595246.039,0
1152605.247,6594955.182,0
1157414.839,6594662.143,0
1162224.673,6594366.921,0
1167034.75,6594069.517,0
1171845.073,6593769.928,0
1080788.752,6604645.269,0
1085597.433,6604385.127,0
1090406.33,6604122.815,0
1095215.446,6603858.333,0
1100024.782,6603591.68,0
1104834.339,6603322.856,0
1109644.12,6603051.859,0
1114454.126,6602778.689,0
1119264.359,6602503.346,0
1124074.821,6602225.828,0
1128885.514,6601946.136,0
1133696.438,6601664.267,0
1138507.597,6601380.221,0
1143318.992,6601093.998,0
1148130.624,6600805.597,0
1152942.495,6600515.017,0
1157754.608,6600222.257,0
1162566.963,6599927.317,0
1167379.563,6599630.195,0
1172192.409,6599330.892,0
1081087.85,6610201.167,0
1085899.035,6609941.274,0
1090710.438,6609679.213,0
1095522.06,6609414.985,0
1100333.902,6609148.587,0
1105145.967,6608880.021,0
1109958.257,6608609.284,0
1114770.772,6608336.376,0
1119583.515,6608061.296,0
1124396.488,6607784.044,0
1129209.692,6607504.619,0
1134023.13,6607223.02,0
1138836.802,6606939.247,0
1143650.711,6606653.298,0
1148464.858,6606365.172,0
1153279.246,6606074.87,0
1158093.876,6605782.391,0
1162908.749,6605487.732,0
1167723.868,6605190.895,0
1172539.234,6604891.877,0
1086200.192,6615497.426,0
1091014.096,6615235.618,0
1095828.22,6614971.644,0
1100642.566,6614705.503,0
1105457.134,6614437.195,0
1110271.929,6614166.718,0
1115086.95,6613894.073,0
1119902.199,6613619.258,0
1124717.679,6613342.272,0
1129533.392,6613063.116,0
1134349.338,6612781.788,0
1139165.52,6612498.287,0
1143981.94,6612212.613,0
1148798.599,6611924.764,0
1153615.499,6611634.741,0
1158432.643,6611342.542,0
1163250.03,6611048.167,0
1168067.665,6610751.614,0
1172885.547,6610452.884,0
1086500.902,6621053.585,0
1091317.304,6620792.03,0
1096133.926,6620528.311,0
1100950.771,6620262.427,0
1105767.841,6619994.378,0
1110585.136,6619724.163,0
1115402.659,6619451.781,0
1120220.411,6619177.231,0
1125038.395,6618900.513,0
1129856.612,6618621.626,0
1134675.064,6618340.569,0
1139493.752,6618057.342,0
1144312.679,6617771.944,0
1149131.846,6617484.373,0
1153951.255,6617194.63,0
1158770.908,6616902.713,0
1163590.807,6616608.621,0
1168410.952,6616312.355,0
1173231.347,6616013.912,0
1091620.061,6626348.448,0
1096439.179,6626084.985,0
1101258.52,6625819.359,0
1106078.086,6625551.57,0
1110897.878,6625281.617,0
1115717.899,6625009.499,0
1120538.151,6624735.216,0
1125358.635,6624458.766,0
1130179.352,6624180.15,0
1135000.306,6623899.365,0
1139821.497,6623616.413,0
1144642.927,6623331.291,0
1149464.599,6623043.999,0
1154286.513,6622754.536,0
1159108.672,6622462.902,0
1163931.078,6622169.095,0
1168753.731,6621873.115,0
1173576.635,6621574.961,0
1096743.977,6631641.667,0
1101565.81,6631376.3,0
1106387.869,6631108.772,0
1111210.155,6630839.081,0
1116032.671,6630567.229,0
1120855.418,6630293.212,0
1125678.398,6630017.032,0
1130501.613,6629738.687,0
1135325.065,6629458.176,0
1140148.755,6629175.498,0
1144972.685,6628890.654,0
1149796.857,6628603.641,0
1154621.273,6628314.46,0
1159445.934,6628023.109,0
1164270.843,6627729.588,0
1169096.001,6627433.896,0
1173921.41,6627136.032,0
1092224.225,6637461.305,0
1097048.321,6637198.356,0
1101872.643,6636933.249,0
1106697.191,6636665.982,0
1111521.967,6636396.556,0
1116346.974,6636124.969,0
1121172.213,6635851.22,0
1125997.685,6635575.31,0
1130823.394,6635297.237,0
1135649.34,6635017,0
1140475.525,6634734.599,0
1145301.951,6634450.032,0
1150128.62,6634163.3,0
1154955.534,6633874.401,0
1159782.694,6633583.335,0
1164610.103,6633290.101,0
1169437.761,6632994.697,0
1174265.672,6632697.124,0
1097352.21,6642755.053,0
1102179.017,6642490.206,0
1107006.05,6642223.202,0
1111833.313,6641954.04,0
1116660.807,6641682.72,0
1121488.534,6641409.24,0
1126316.496,6641133.6,0
1131144.694,6640855.8,0
1135973.131,6640575.838,0
1140801.807,6640293.714,0
1145630.726,6640009.427,0
1150459.888,6639722.976,0
1155289.296,6639434.361,0
1160118.952,6639143.58,0
1164948.856,6638850.633,0
1169779.012,6638555.519,0
1174609.42,6638258.238,0
1102484.932,6648047.171,0
1107314.448,6647780.43,0
1112144.193,6647511.534,0
1116974.171,6647240.481,0
1121804.382,6646967.271,0
1126634.829,6646691.903,0
1131465.514,6646414.377,0
1136296.437,6646134.691,0
1141127.602,6645852.845,0
1145959.009,6645568.838,0
1150790.661,6645282.669,0
1155622.56,6644994.338,0
1160454.707,6644703.843,0
1165287.104,6644411.184,0
1170119.753,6644116.361,0
1174952.655,6643819.372,0
1102790.389,6653604.145,0
1107622.383,6653337.668,0
1112454.607,6653069.038,0
1117287.065,6652798.254,0
1122119.757,6652525.314,0
1126952.686,6652250.219,0
1131785.852,6651972.967,0
1136619.259,6651693.558,0
1141452.908,6651411.99,0
1146286.801,6651128.264,0
1151120.939,6650842.378,0
1155955.324,6650554.332,0
1160789.959,6650264.125,0
1165624.844,6649971.755,0
1170459.983,6649677.223,0
1175295.376,6649380.528,0
1103095.387,6659161.127,0
