# eastings,northings,RL
447374.524,5993315.448,159.257
452411.671,5993315.448,207.452
457448.818,5993315.448,320.211
462485.965,5993315.448,274.985
467523.112,5993315.448,231.608
472560.259,5993315.448,293.805
477597.406,5993315.448,285.471
482634.553,5993315.448,457.651
487671.700,5993315.448,413.311
492708.847,5993315.448,412.770
497745.993,5993315.448,187.389
502783.140,5993315.448,278.148
507820.287,5993315.448,180.000
512857.434,5993315.448,214.088
517894.581,5993315.448,189.619
522931.728,5993315.448,228.254
527968.875,5993315.448,254.379
533006.022,5993315.448,425.649
538043.169,5993315.448,544.379
543080.316,5993315.448,843.082
548117.463,5993315.448,863.256
553154.610,5993315.448,732.010
558191.757,5993315.448,431.788
563228.904,5993315.448,372.625
568266.051,5993315.448,338.340
573303.198,5993315.448,333.347
578340.345,5993315.448,318.620
583377.492,5993315.448,308.545
588414.639,5993315.448,688.912
593451.786,5993315.448,272.872
598488.932,5993315.448,286.156
603526.079,5993315.448,660.597
608563.226,5993315.448,918.756
613600.373,5993315.448,1521.704
618637.520,5993315.448,1766.303
623674.667,5993315.448,1735.975
628711.814,5993315.448,1826.895
633748.961,5993315.448,1673.431
638786.108,5993315.448,1404.198
643823.255,5993315.448,1302.767
648860.402,5993315.448,1208.837
653897.549,5993315.448,1328.737
658934.696,5993315.448,1247.535
663971.843,5993315.448,1221.554
669008.990,5993315.448,1277.427
674046.137,5993315.448,1100.941
679083.284,5993315.448,868.191
684120.431,5993315.448,854.076
689157.578,5993315.448,855.703
694194.725,5993315.448,759.944
699231.871,5993315.448,770.781
704269.018,5993315.448,891.283
709306.165,5993315.448,806.452
714343.312,5993315.448,851.908
719380.459,5993315.448,935.044
724417.606,5993315.448,1063.588
729454.753,5993315.448,951.642
734491.900,5993315.448,585.581
739529.047,5993315.448,211.712
744566.194,5993315.448,141.503
749603.341,5993315.448,127.418
754640.488,5993315.448,435.644
759677.635,5993315.448,193.686
764714.782,5993315.448,124.730
769751.929,5993315.448,105.029
774789.076,5993315.448,71.400
779826.223,5993315.448,15.521
784863.370,5993315.448,-55.603
789900.517,5993315.448,-85.048
794937.663,5993315.448,-108.660
799974.810,5993315.448,-120.678
805011.957,5993315.448,-174.222
810049.104,5993315.448,-1115.986
815086.251,5993315.448,-1877.431
820123.398,5993315.448,-1979.424
825160.545,5993315.448,-1985.864
830197.692,5993315.448,-3471.332
835234.839,5993315.448,-3624.351
840271.986,5993315.448,-4130.898
845309.133,5993315.448,-4553.527
850346.280,5993315.448,-4886.167
855383.427,5993315.448,-4729.855
860420.574,5993315.448,-4752.275
865457.721,5993315.448,-4772.988
870494.868,5993315.448,-4770.427
875532.015,5993315.448,-4785.590
880569.162,5993315.448,-4818.070
885606.309,5993315.448,-4826.723
890643.456,5993315.448,-4693.097
895680.602,5993315.448,-4801.368
900717.749,5993315.448,-4829.378
905754.896,5993315.448,-4833.814
910792.043,5993315.448,-4825.255
915829.190,5993315.448,-4853.406
920866.337,5993315.448,-4841.704
925903.484,5993315.448,-4769.156
930940.631,5993315.448,-4862.040
935977.778,5993315.448,-4855.548
941014.925,5993315.448,-4864.453
946052.072,5993315.448,-4840.783
951089.219,5993315.448,-4847.539
956126.366,5993315.448,-4834.987
961163.513,5993315.448,-4875.212
966200.660,5993315.448,-4854.516
971237.807,5993315.448,-4784.968
976274.954,5993315.448,-4725.765
981312.101,5993315.448,-4738.201
986349.248,5993315.448,-4827.615
991386.394,5993315.448,-4904.841
996423.541,5993315.448,-4843.682
1001460.688,5993315.448,-4853.599
1006497.835,5993315.448,-4897.271
1011534.982,5993315.448,-4825.382
1016572.129,5993315.448,-4804.405
1021609.276,5993315.448,-4854.663
1026646.423,5993315.448,-4866.620
1031683.570,5993315.448,-4809.782
1036720.717,5993315.448,-4761.308
1041757.864,5993315.448,-4771.574
1046795.011,5993315.448,-4772.489
1051832.158,5993315.448,-4710.505
1056869.305,5993315.448,-4685.130
1061906.452,5993315.448,-4669.098
1066943.599,5993315.448,-4645.233
1071980.746,5993315.448,-4724.788
1077017.893,5993315.448,-4807.887
1082055.040,5993315.448,-4766.008
1087092.187,5993315.448,-4706.672
1092129.333,5993315.448,-4721.324
1097166.480,5993315.448,-4780.561
1102203.627,5993315.448,-4726.423
1107240.774,5993315.448,-4703.690
1112277.921,5993315.448,-4656.222
1117315.068,5993315.448,-4610.312
1122352.215,5993315.448,-4588.486
1127389.362,5993315.448,-4693.551
1132426.509,5993315.448,-4743.708
1137463.656,5993315.448,-4786.748
1142500.803,5993315.448,-4687.588
1147537.950,5993315.448,-4567.520
1152575.097,5993315.448,-4511.361
1157612.244,5993315.448,-4576.394
1162649.391,5993315.448,-4630.823
1167686.538,5993315.448,-4671.662
1172723.685,5993315.448,-4681.840
1177760.832,5993315.448,-4716.535
1182797.979,5993315.448,-4743.493
1187835.126,5993315.448,-4653.563
1192872.272,5993315.448,-4564.994
1197909.419,5993315.448,-4606.734
1202946.566,5993315.448,-4571.695
1207983.713,5993315.448,-4398.940
1213020.860,5993315.448,-4172.385
1218058.007,5993315.448,-3941.273
1223095.154,5993315.448,-4393.521
1228132.301,5993315.448,-4285.694
1233169.448,5993315.448,-4641.400
1238206.595,5993315.448,-4597.311
447374.524,5998330.861,157.084
452411.671,5998330.861,175.243
457448.818,5998330.861,199.158
462485.965,5998330.861,200.791
467523.112,5998330.861,263.073
472560.259,5998330.861,247.738
477597.406,5998330.861,237.741
482634.553,5998330.861,405.912
487671.700,5998330.861,232.436
492708.847,5998330.861,241.577
497745.993,5998330.861,163.986
502783.140,5998330.861,212.453
507820.287,5998330.861,276.957
512857.434,5998330.861,415.401
517894.581,5998330.861,469.662
522931.728,5998330.861,348.444
527968.875,5998330.861,711.808
533006.022,5998330.861,407.458
538043.169,5998330.861,588.889
543080.316,5998330.861,642.484
548117.463,5998330.861,799.101
553154.610,5998330.861,671.882
558191.757,5998330.861,540.814
563228.904,5998330.861,766.382
568266.051,5998330.861,458.910
573303.198,5998330.861,325.416
578340.345,5998330.861,778.752
583377.492,5998330.861,269.587
588414.639,5998330.861,437.607
593451.786,5998330.861,271.293
598488.932,5998330.861,573.787
603526.079,5998330.861,603.323
608563.226,5998330.861,1242.554
613600.373,5998330.861,1562.066
