Easting,Northing,RL
931113.975,6367053.127,-1316.187645
926423.822,6367256.16,-1253.618367
935804.264,6366847.86,-1222.392613
926184.72,6361706.073,-1171.703097
930872.227,6361502.879,-1152.142758
921497.347,6361907.03,-1143.590144
893375.859,6363065.85,-1116.859848
931355.394,6372603.359,-1100.806306
898285.693,6368427.457,-1080.626637
936048.327,6372398.255,-1069.470139
893596.456,6368614.861,-1068.399259
898062.454,6362878.297,-1057.386535
935559.87,6361297.449,-1054.445583
856882.147,6392225.124,-1049.435129
902975.057,6368237.821,-1011.077902
940494.692,6366640.357,-1006.019973
916810.108,6362105.752,-990.1365319
888907.344,6368800.034,-967.8063443
852963.876,6414582.29,-965
940741.398,6372190.917,-950.0715294
857673.01,6414416.026,-945
861580.941,6392056.096,-941.1756866
885076.688,6391177.639,-928.7554001
857870.044,6419963.69,-905
930630.151,6355952.616,-901.4053201
902749.175,6362688.511,-880.5328235
880377.296,6391357.774,-874.9169454
866279.851,6391884.847,-874.3810391
925945.293,6356155.969,-871.3913265
940247.651,6361089.783,-869.419002
870978.879,6391711.378,-864.7450673
935315.144,6355747.024,-861.7686162
936292.057,6377948.634,-860
875678.027,6391535.687,-851.5306019
885290.538,6396726.251,-843.4166179
931596.485,6378153.575,-840
889776.204,6390995.282,-837.2822239
893816.754,6374163.851,-835.887517
940987.769,6377741.462,-835.2379335
852378.974,6397939.559,-809.2710667
921260.569,6356357.085,-807.6880815
889125.004,6374348.878,-806.8568938
843356.47,6409360.897,-802.1907072
847677.79,6398104.014,-801.878899
945185.26,6366430.619,-801.304896
940000.274,6355539.194,-794.7506371
880588.524,6396906.24,-794.1267158
842976.719,6398266.251,-787.0735657
857080.271,6397772.887,-783.0397781
862382.261,6414247.549,-781.2689485
889992.676,6396544.041,-780.7132077
848062.767,6409198.924,-777.9485091
884862.544,6385629.006,-777.440608
926901.051,6378356.285,-775.0030445
907892.762,6373595.397,-774.523438
898508.629,6373976.596,-773.4772096
944935.571,6360879.879,-770.9170597
945434.61,6371981.345,-770.084038
920548.311,6339707.148,-769.9121478
838275.759,6398426.271,-764.4465973
838650.285,6409520.655,-762.3678804
858066.806,6425511.329,-760
875886.633,6397084.009,-749.7644503
861781.685,6397603.996,-746.0366039
935070.086,6350196.584,-745.4184017
934824.697,6344646.128,-742.1732368
939504.515,6344437.973,-740.5804896
939256.133,6338887.341,-736.1792064
871184.864,6397259.557,-735.5784985
934578.976,6339095.658,-733.694141
939752.562,6349988.591,-731.4006929
852769.177,6409034.738,-726.8292817
903200.631,6373787.112,-726.2509099
944685.543,6355329.125,-721.6943075
866483.215,6397432.886,-716.6760994
943933.427,6338676.779,-713.073989
944184.471,6344227.575,-709.9495529
930387.746,6350402.337,-709.3897256
917510.591,6378755.012,-701.0698799
930145.014,6344852.042,-697.8679177
862581.901,6419795.352,-694.6416799
929901.954,6339301.731,-693.9275921
944435.176,6349778.357,-689.2739372
949623.632,6360667.737,-685.574244
907436.023,6362496.493,-683.2820737
889559.434,6385446.501,-676.3965967
857475.702,6408868.338,-675.9878468
949875.969,6366218.644,-674.2362638
948610.858,6338463.973,-671.5816347
885504.094,6402274.841,-670.7775698
948864.565,6344014.934,-663.3879172
949370.952,6355116.816,-662.7583523
912123,6362302.24,-661.0963225
833759.687,6404131.151,-654.9839705
880799.461,6402454.684,-651.2715475
950127.964,6371769.539,-640.1388181
949117.929,6349565.881,-640.0955563
843166.725,6403813.587,-637.8562188
912815.562,6378951.031,-637.6824939
894036.751,6379712.822,-628.511286
838463.151,6403973.477,-628.3624095
847870.411,6403651.482,-628.1626878
890208.852,6402092.779,-628.0916028
889342.367,6379897.7,-625.0953876
953288.43,6338248.922,-624.209021
925225.066,6339505.561,-619.6571276
925465.466,6345055.713,-614.4882993
876094.952,6402632.307,-613.4711064
894475.845,6390810.701,-612.1061983
953544.799,6343800.049,-609.9487604
852574.21,6403487.161,-608.8055657
897838.912,6357329.118,-608.4382088
862182.344,6408699.722,-602.4416047
925705.542,6350605.85,-602.2334215
858263.295,6431058.944,-601.6756124
954311.834,6360453.356,-590.1860368
894694.941,6396359.609,-586.658405
857278.123,6403320.624,-585.5646932
954056.502,6354902.266,-582.1480313
871390.566,6402807.713,-580.73126
953800.823,6349351.164,-579.4796941
957966.142,6338031.624,-575.7442219
954566.821,6366004.433,-574.458262
866686.299,6402980.901,-562.132657
861982.152,6403151.871,-562.1316974
894256.448,6385261.771,-560.6523422
958225.175,6343582.92,-556.1414243
908120.665,6379144.821,-550.5672454
866889.105,6408528.892,-535.7661097
920786.051,6345257.144,-534.5737727
962643.997,6337812.08,-533.9851974
867091.63,6414076.859,-533.0801167
894913.737,6401908.498,-525.9721495
922441.246,6384106.641,-522.8150125
898731.261,6379525.716,-520.2091901
958483.86,6349134.204,-517.5553709
962905.695,6343363.547,-510.8749437
916106.767,6345456.334,-510.1090517
967321.995,6337590.29,-505.512103
911427.613,6345653.284,-501.9823571
885717.357,6407823.41,-499.6256809
958742.195,6354685.476,-491.6073667
862781.264,6425343.131,-490.6296903
881010.109,6408003.105,-489.9833253
890424.73,6407641.497,-488.9886251
917743.449,6384304.73,-488.0593659
871595.984,6408355.846,-486.9707532
972000.139,6337366.251,-484.9826076
967586.358,6343141.928,-477.4432838
876302.985,6408180.584,-474.4325656
976678.43,6337139.965,-474.0663746
858459.511,6436606.534,-473.9822588
995393.088,6336212.326,-472.7766775
990714.196,6336447.611,-470.6013572
981356.868,6336911.429,-470.141366
986035.457,6336680.645,-469.9987817
913045.787,6384500.592,-466.2497523
916575.978,6356555.964,-465.666118
963167.04,6348915.001,-464.1963823
898953.589,6385074.816,-458.892128
959000.181,6360236.737,-458.2959502
972267.168,6342918.063,-458.1967736
995673.456,6341765.032,-457.8699164
990991.895,6342000.134,-453.3544841
976948.125,6342691.952,-449.6185105
986310.487,6342232.988,-449.2777388
981629.231,6342463.594,-447.5187065
899175.614,6390623.896,-446.8853043
895132.231,6407457.366,-445.2805898
987406.902,6364442.282,-438.0181244
992098.948,6364210.157,-436.8965607
996791.151,6363975.791,-436.1629086
959257.817,6365787.985,-434.2036038
967850.365,6348693.555,-430.0944145
899618.75,6401721.996,-429.5740401
908348.257,6384694.227,-422.9878645
986585.147,6347785.323,-415.0499627
972533.837,6348469.865,-414.3597247
963428.032,6354466.445,-413.7287057
903650.858,6384885.635,-413.3488702
981901.226,6348015.749,-412.8812657
903425.898,6379336.383,-412.6774074
899397.334,6396172.956,-411.2323971
991269.22,6347552.65,-410.8756194
977217.457,6348243.93,-410.8096713
921023.47,6350807.123,-408.4845219
995953.447,6347317.731,-407.2694855
903875.511,6390434.867,-402.9619502
899839.861,6407271.017,-402.9459598
909029.166,6401342.331,-401.4540245
913275.697,6390050.135,-400.8180689
867293.876,6419624.803,-399.2192665
908575.538,6390243.614,-398.2920445
904323.892,6401533.274,-394.5799064
996233.059,6352870.424,-392.263451
991546.17,6353105.16,-391.8494172
986859.436,6353337.65,-389.514363
871801.12,6413903.955,-387.3247504
904099.855,6395984.08,-387.0057477
982172.855,6353567.896,-382.6489322
908802.508,6395792.982,-382.5017528
996512.294,6358423.11,-377.1623112
968114.016,6354245.172,-376.6064147
977486.426,6353795.898,-373.8548763
991822.747,6358657.662,-373.0794745
972800.146,6354021.657,-367.710586
987133.355,6358889.97,-366.2149594
982444.116,6359120.035,-354.2912331
982715.01,6364672.165,-348.087026
890640.311,6413190.193,-343.5256699
876510.731,6413728.837,-343.4448288
977755.03,6359347.858,-338.4573245
963688.672,6360017.878,-334.4146083
862980.352,6430890.886,-331.120418
978023.271,6364899.808,-326.8752567
885930.326,6413371.957,-326.8219358
973066.095,6359573.439,-318.9760954
881220.466,6413551.505,-315.1021241
902522.987,6357139.182,-309.8449938
968377.31,6359796.778,-307.6235587
973331.684,6365125.211,-298.2586814
968640.247,6365348.374,-265
906748.588,6345847.995,-261.5670291
897390.917,6346230.699,-256.0528727
863179.162,6436438.616,-251.279407
886143,6418920.482,-228.2179012
897615.066,6351779.918,-212.8367731
872005.972,6419452.042,-205.1499676
881430.533,6419099.882,-180.9992188
963948.958,6365569.299,-175
867495.842,6425172.723,-166.2611693
876718.191,6419277.068,-165.960111
902069.69,6346040.466,-141.7164436
916341.531,6351006.158,-85.83300986
867898.934,6436268.493,-20.82734359
