Easting,Northing,RL
761682.803,6949844.52,-2822.671454
766622.301,6949737.778,-2729.204824
761564.067,6944302.695,-2724.641868
766501.318,6944195.823,-2686.977289
756743.42,6949949.262,-2649.537679
761801.341,6955386.314,-2645.632613
756626.93,6944407.564,-2629.533121
761445.131,6938760.838,-2614.408175
766743.082,6955279.702,-2612.416838
766380.132,6938653.837,-2598.985293
771438.686,6944086.947,-2558.305021
771561.916,6949629.035,-2555.59138
756859.716,6955490.928,-2554.574388
756510.244,6938865.835,-2554.29558
761325.996,6933218.95,-2521.664098
771315.249,6938544.829,-2518.716627
766258.743,6933111.819,-2517.909928
750243.399,7121921.884,-2516.13534
751804.15,6950052.004,-2497.014544
751689.905,6944510.431,-2491.164277
771684.94,6955171.091,-2485.589253
756393.362,6933324.074,-2474.969824
771191.606,6933002.68,-2468.313994
766863.659,6960821.595,-2459.616202
750349.347,7127462.321,-2459.031773
761919.68,6960928.076,-2453.51604
766137.151,6927569.771,-2448.092014
751918.203,6955593.544,-2445.829401
751575.469,6938968.826,-2445.485977
761206.662,6927677.031,-2444.709084
755250.296,7121825.093,-2443.978364
755358.368,7127365.663,-2422.576563
771067.756,6927460.501,-2418.453846
776376.173,6943976.068,-2409.080875
750455.105,7133002.728,-2408.947785
776250.485,6938433.816,-2406.720009
756276.286,6927782.281,-2404.473573
756975.816,6961032.562,-2392.704334
771807.756,6960713.117,-2390.053921
776124.587,6932891.533,-2389.216891
766015.357,6922027.692,-2389.118374
751460.841,6933427.189,-2388.775874
776501.65,6949518.291,-2385.668124
761087.129,6922135.08,-2380.012883
770943.7,6921918.29,-2375.22309
745444.082,7133097.338,-2373.500759
745340.444,7127557.061,-2371.160181
745547.533,7138637.583,-2370.631637
775998.479,6927349.22,-2367.76655
755466.247,7132906.202,-2367.740916
750560.672,7138543.103,-2366.427582
755142.029,7116284.493,-2361.922797
750137.26,7116381.416,-2360.954497
746864.99,6950152.745,-2358.48704
740635.663,7144270.236,-2356.496672
752032.065,6961135.053,-2354.975453
745650.797,7144177.797,-2354.94114
746752.991,6944611.295,-2348.788685
756159.015,6922240.456,-2344.709755
766984.034,6966363.457,-2341.876474
746976.802,6955694.163,-2340.455521
765893.361,6916485.581,-2340.055035
775872.161,6921806.876,-2338.013232
745236.62,7122016.754,-2337.601218
751346.022,6927885.521,-2333.818505
776626.917,6955060.482,-2332.587161
770819.438,6916376.049,-2331.610256
760967.398,6916593.098,-2326.051359
740736.631,7149810.29,-2324.873222
762037.819,6966469.808,-2324.048396
750666.049,7144083.447,-2320.072401
740534.511,7138730.149,-2318.500876
760257.313,7121726.381,-2315.825815
746640.804,6939069.813,-2315.078477
755573.931,7138446.71,-2310.756418
775745.633,6916264.501,-2306.344074
760367.51,7127267.085,-2305.92191
771930.366,6966255.113,-2304.989192
745753.875,7149717.979,-2303.506251
747088.426,6961235.549,-2303.505243
780929.322,6927235.927,-2299.883741
781057.688,6932778.377,-2298.315705
765771.162,6910943.439,-2293.381418
770694.97,6910833.777,-2290.007922
756041.548,6916698.599,-2288.741387
780800.741,6921693.448,-2287.706767
781185.841,6938320.796,-2286.709003
735620.642,7144360.764,-2284.891901
751231.011,6922343.82,-2282.806187
746528.429,6933528.298,-2278.865733
760146.918,7116185.646,-2278.649344
757091.72,6966574.165,-2278.446406
735719.503,7149900.693,-2278.241652
776751.974,6960602.644,-2276.459665
760847.468,6911051.084,-2275.817503
767104.205,6971905.288,-2274.787795
775618.895,6910722.096,-2273.758761
752145.735,6966676.53,-2273.674422
740433.176,7133190.032,-2269.587464
780671.947,6916150.938,-2269.136606
762155.759,6972011.508,-2267.207078
760477.51,7132807.759,-2264.059024
781313.78,6943863.186,-2258.661018
750771.236,7149623.761,-2256.241801
772052.77,6971797.078,-2251.461944
755681.421,7143987.187,-2250.675487
747199.861,6966776.902,-2249.302542
770570.296,6905291.473,-2248.147311
780542.939,6910608.398,-2246.903528
767224.173,6977447.088,-2246.881891
757207.429,6972115.736,-2244.52178
765648.761,6905401.266,-2243.810018
746415.866,6927986.751,-2243.010601
762273.499,6977553.176,-2242.909311
755033.568,7110743.863,-2242.849329
775491.947,6905179.661,-2240.373724
755923.887,6911156.711,-2234.885954
751115.809,6916802.087,-2234.035858
785729.443,6921578.006,-2232.600452
772174.966,6977339.012,-2230.192827
785860.286,6927120.624,-2230.183833
776876.819,6966144.775,-2226.649634
745132.609,7116476.415,-2226.335139
785598.382,6916035.358,-2226.295401
741925.939,6950251.488,-2225.400455
752259.213,6972217.975,-2224.493132
742035.509,6955792.785,-2224.147938
757322.942,6977657.276,-2223.066849
780413.717,6905065.827,-2222.88956
767343.938,6982988.858,-2221.77433
760727.34,6905509.038,-2221.621389
762391.04,6983094.814,-2219.610638
740837.417,7155350.313,-2218.694279
742144.895,6961334.05,-2217.9337
781441.505,6949405.545,-2216.716421
745856.765,7155258.131,-2214.945814
740331.658,7127649.883,-2214.084559
785467.103,6910492.681,-2213.896921
741816.185,6944710.158,-2212.813634
760036.325,7110644.881,-2211.253835
772296.955,6982880.916,-2209.981373
760587.311,7138348.403,-2209.626393
785990.912,6932663.212,-2208.999131
770445.416,6899749.139,-2206.883711
775364.79,6899637.194,-2206.469837
767463.499,6988530.597,-2206.036447
746303.116,6922445.171,-2205.306011
750030.931,7110840.917,-2205.15349
768058.251,7016238.83,-2203.967447
757438.259,6983198.784,-2202.679266
762508.381,6988636.421,-2200.22493
767582.857,6994072.305,-2200.143568
772418.736,6988422.789,-2198.351296
785335.607,6904949.973,-2197.87268
777001.455,6971686.876,-2197.853908
772661.678,6999506.444,-2197.510663
768412.656,7032863.402,-2197.207706
752372.499,6977759.388,-2196.664394
735521.602,7138820.803,-2196.189039
780284.282,6899523.227,-2196.085081
768176.59,7021780.384,-2195.901713
772540.311,6993964.632,-2195.514895
765526.158,6899859.061,-2195.113249
773385.521,7032756.684,-2195.006625
773145.071,7021673.391,-2194.928417
778236.199,7027106.23,-2194.84336
777125.879,6977228.947,-2192.309991
767702.011,6999613.982,-2192.094504
762742.464,6999719.541,-2191.718111
773505.434,7038298.284,-2189.47713
747311.109,6972318.223,-2189.463703
777621.467,6999396.928,-2187.925184
762625.523,6994177.996,-2187.730628
757553.381,6988740.261,-2186.729842
742254.097,6966875.282,-2184.362569
741706.246,6939168.795,-2183.214777
777250.093,6982770.987,-2183.078348
