Easting,Northing,RL
666851.428,7261727.921,-2041.368401
666918.15,7267265.65,-2031.456082
666984.744,7272803.344,-2012.46031
667051.212,7278341.004,-1990.508892
661794.451,7261787.984,-1987.815721
661729.631,7256250.311,-1984.448036
661859.149,7267325.622,-1965.331763
672182.686,7283817.09,-1961.32166
667117.552,7283878.631,-1951.502992
661923.723,7272863.226,-1945.473099
661988.174,7278400.797,-1929.470499
656674.762,7256308.61,-1928.567546
661664.688,7250712.605,-1908.381404
675960.754,7184067.885,-1900.282025
662052.502,7283938.333,-1898.472077
672250.908,7289354.776,-1890.86424
656737.555,7261846.196,-1880.675906
667183.766,7289416.224,-1877.135584
670719.863,7167517.863,-1859.637692
656800.229,7267383.747,-1844.415839
662116.707,7289475.836,-1836.357489
656862.783,7272921.264,-1831.514719
656925.218,7278458.748,-1826.981873
670790.823,7173056.263,-1813.22965
672318.999,7294892.429,-1810.676799
656987.534,7283996.197,-1809.872168
656611.851,7250770.99,-1804.443994
667249.852,7294953.784,-1798.691875
661599.622,7245174.864,-1786.015612
683100.228,7344603.373,-1774.504222
670861.653,7178594.629,-1774.461705
657049.73,7289533.612,-1767.5731
662180.789,7295013.305,-1765.627282
670932.353,7184132.96,-1741.621088
672386.96,7300430.049,-1729.341163
678081.775,7350204.915,-1725.748437
667315.811,7300491.31,-1722.007449
671002.924,7189671.257,-1714.6619
657111.808,7295070.993,-1707.243475
683029.376,7339065.82,-1706.233594
651922.644,7284052.221,-1705.965256
678013.029,7344667.496,-1700.039314
662244.747,7300550.74,-1694.998351
671073.364,7195209.52,-1694.321335
651862.341,7278514.857,-1694.268816
651982.833,7289589.551,-1679.468094
651619.972,7256365.057,-1667.20326
661534.433,7239637.089,-1666.993429
651801.921,7272977.458,-1665.831435
665628.805,7162042.973,-1659.615495
672454.789,7305967.635,-1653.722028
677944.148,7339130.043,-1652.292427
667381.644,7306028.802,-1651.400171
651680.737,7261902.558,-1650.782943
651741.387,7267440.025,-1645.668997
657173.765,7300608.34,-1642.497652
682958.385,7333528.235,-1642.104658
677528.022,7305904.64,-1641.511233
665697.801,7167581.319,-1631.767498
656548.82,7245233.336,-1629.406995
662308.582,7306088.141,-1629.329071
652042.905,7295126.847,-1622.222958
665766.672,7173119.63,-1615.177955
677875.132,7333592.558,-1604.876196
672992.702,7350267.131,-1602.671963
672925.922,7344729.809,-1599.148832
665835.417,7178657.906,-1596.915136
646857.831,7284106.407,-1592.327248
672522.488,7311505.188,-1591.633019
667447.348,7311566.261,-1590.810669
657235.604,7306145.653,-1582.823395
672859.011,7339192.455,-1578.10605
665904.035,7184196.147,-1577.298329
646916.011,7289643.655,-1575.023578
677597.714,7311442.289,-1573.657201
662372.294,7311625.509,-1569.812446
677805.98,7328055.041,-1564.618155
665972.528,7189734.354,-1558.669446
652102.863,7300664.109,-1557.795281
672791.969,7333655.068,-1554.264436
672590.055,7317042.708,-1550.697888
651559.091,7250827.52,-1545.375686
666040.894,7195272.527,-1543.4701
667512.926,7317103.687,-1543.382334
677736.693,7322517.49,-1538.20443
677667.271,7316979.906,-1537.378326
672724.796,7328117.647,-1537.122374
666109.134,7200810.665,-1533.967895
672657.491,7322580.194,-1533.757756
646799.539,7278569.125,-1532.138561
657297.322,7311682.932,-1527.843331
662435.883,7317162.843,-1515.36594
667578.376,7322641.079,-1511.172028
646974.08,7295180.869,-1505.512633
652162.704,7306201.337,-1502.09774
660541.89,7156566.325,-1498.249363
667643.699,7328178.438,-1494.118715
667838.904,7344790.315,-1491.908949
667773.963,7339253.056,-1491.191719
656485.67,7239695.647,-1490.502296
667708.895,7333715.763,-1489.306494
662499.348,7322700.144,-1468.382379
657358.922,7317220.178,-1466.13196
652222.43,7311738.531,-1460.969895
641793.092,7284158.755,-1452.180194
646741.136,7273031.808,-1451.546447
662562.689,7328237.411,-1433.055585
647032.037,7300718.049,-1433.045159
660742.601,7173181.102,-1431.069555
641849.264,7289695.924,-1427.520332
660809.26,7178719.292,-1426.75161
660675.819,7167642.878,-1424.704874
660875.797,7184257.446,-1415.719544
662625.907,7333774.645,-1409.667457
660608.916,7162104.619,-1403.947647
657420.401,7322757.39,-1402.766442
660942.212,7189795.566,-1401.995494
662689.001,7339311.845,-1394.353857
652282.041,7317275.691,-1389.244649
661008.504,7195333.651,-1389.158685
656422.401,7234157.924,-1386.847945
661206.647,7211947.699,-1384.943466
651498.095,7245289.95,-1381.688817
662751.972,7344849.012,-1381.008606
661074.674,7200871.702,-1380.201534
661140.722,7206409.718,-1377.857218
646682.621,7267494.457,-1374.794619
647089.882,7306255.194,-1371.390069
657481.761,7328294.568,-1351.35031
641905.329,7295233.058,-1343.414121
655524.174,7156626.155,-1337.835157
641736.811,7278621.552,-1328.368423
647147.615,7311792.305,-1320.062705
657543.002,7333831.713,-1314.066667
646623.994,7261957.071,-1308.926887
652341.535,7322812.817,-1307.176007
657604.122,7339368.824,-1287.304914
655589.104,7162164.366,-1280.957009
655718.607,7173240.682,-1275.77038
655783.181,7178778.787,-1273.506966
655653.914,7167702.541,-1271.784843
641961.285,7300770.158,-1265.446842
655847.637,7184316.857,-1263.62779
656295.507,7223082.374,-1263.016116
651436.985,7239752.345,-1256.508612
647205.237,7317329.382,-1249.690075
655911.974,7189854.893,-1249.687927
652400.914,7328349.909,-1245.098538
646565.256,7256419.651,-1242.971906
655976.193,7195392.893,-1235.469266
656231.882,7217544.547,-1233.220699
656040.293,7200930.859,-1223.810088
656168.138,7212006.686,-1219.314722
656104.275,7206468.79,-1217.384528
650506.533,7156684.085,-1207.980102
652460.177,7333886.967,-1200.673192
641680.423,7273084.314,-1200.485
642017.134,7306307.223,-1195.439938
636782.588,7289746.357,-1183.869277
636728.423,7284209.265,-1173.752732
647262.747,7322866.425,-1171.906477
652519.324,7339423.992,-1169.089872
651375.759,7234214.705,-1167.309427
650569.366,7162222.214,-1165.159143
646506.407,7250882.196,-1150.965237
650632.084,7167760.309,-1150.938558
650694.688,7173298.368,-1148.438579
652578.355,7344960.983,-1144.825003
650757.178,7178836.392,-1140.843807
636836.649,7295283.414,-1131.64835
642072.875,7311844.254,-1130.562469
650819.552,7184374.381,-1124.808042
647320.144,7328403.434,-1111.421726
651314.418,7228677.03,-1106.599011
650881.812,7189912.334,-1105.296288
650943.957,7195450.253,-1086.154581
645488.964,7156740.113,-1085.866154
636674.154,7278672.138,-1076.999452
651252.962,7223139.321,-1069.003933
647377.43,7333940.409,-1068.727441
651005.988,7200988.136,-1068.63434
641623.928,7267547.042,-1066.946608
642128.508,7317381.251,-1064.47386
636890.606,7300820.437,-1063.008595
651067.904,7206525.985,-1054.601866
646447.446,7245344.706,-1052.333012
645549.701,7162278.165,-1050.720207
651191.391,7217601.577,-1050.555739
651129.705,7212063.798,-1047.215783
645610.327,7167816.181,-1045.973138
645670.842,7173354.161,-1045.57354
640412.717,7151256.229,-1042.246299
647434.604,7339477.35,-1039.61137
645731.247,7178892.106,-1030.370492
647491.666,7345014.257,-1018.736413
642184.033,7322918.214,-1001.829471
647548.616,7350551.131,-1000.91801
645791.54,7184430.016,-1000.503733
636944.458,7306357.426,-992.2295493
646388.374,7239807.182,-974.5365622
640647.066,7173408.061,-971.3314832
640471.465,7156794.241,-971.1138946
645851.723,7189967.891,-970.895462
635397.385,7151308.529,-960.682762
640588.639,7167870.157,-960.4634505
642239.45,7328455.142,-952.9082213
640705.386,7178945.931,-946.8476907
645911.795,7195505.73,-945.0203394
640530.105,7162332.217,-938.8613338
636619.782,7273134.976,-937.1115915
641567.324,7262009.734,-930.8147945
635623.358,7173460.069,-929.9814433
631715.981,7289794.954,-928.3079671
636998.207,7311894.38,-923.8124594
642294.759,7333992.037,-920.1967898
646329.191,7234269.622,-919.1600978
645971.756,7201043.534,-919.1483716
631663.824,7284257.936,-907.2458575
635567.019,7167922.238,-900.6510197
642349.96,7339528.897,-900.513351
631768.038,7295331.938,-900.1864188
630382.117,7151358.925,-898.939088
635454.033,7156846.468,-898.4238159
646031.606,7206581.303,-894.2715522
640763.599,7184483.764,-891.802999
635679.593,7178997.865,-890.0157921
642405.052,7345065.724,-888.7567286
646269.896,7228732.028,-882.5760135
642460.036,7350602.516,-879.750334
635510.577,7162384.371,-874.3443976
646091.345,7212119.037,-873.5759518
642514.912,7356139.275,-868.9511156
646210.49,7223194.399,-863.6326169
646150.973,7217656.736,-861.6808928
637051.852,7317431.299,-861.152478
630599.715,7173510.184,-854.8099166
642569.68,7361675.999,-852.8100456
630436.665,7156896.794,-852.178699
640821.705,7190021.562,-850.3967303
631819.995,7300868.887,-844.7117802
630545.464,7167972.423,-839.2433786
576017.141,7295744.796,-838.9578116
630491.114,7162434.627,-831.3570827
631611.566,7278720.883,-827.243107
640879.704,7195559.325,-817.1025264
635735.726,7184535.625,-815.9715916
575987.115,7290208.441,-812.1252716
630653.866,7179047.909,-811.1727734
641510.614,7256472.393,-810.6864594
637105.392,7322968.185,-810.2983879
565984.799,7317940.799,-810.2748454
576047.109,7301281.114,-809.9451456
571032.907,7312380.067,-804.2644995
625419.36,7156945.22,-801.5323127
640937.596,7201097.052,-780.5129998
631871.852,7306405.801,-777.3538739
637158.828,7328505.035,-776.5888998
