Easting,Northing,RL
661988.174,7278400.797,-2384.107082
662052.502,7283938.333,-2357.350185
661923.723,7272863.226,-2340
656800.229,7267383.747,-2279.780877
656862.783,7272921.264,-2276.140099
661859.149,7267325.622,-2270
656925.218,7278458.748,-2267.525931
656611.851,7250770.99,-2260
656737.555,7261846.196,-2260
662116.707,7289475.836,-2249.82534
656987.534,7283996.197,-2233.906127
656674.762,7256308.61,-2230
661794.451,7261787.984,-2230
661729.631,7256250.311,-2190
651619.972,7256365.057,-2186.50119
651680.737,7261902.558,-2178.51989
657049.73,7289533.612,-2168.722515
651741.387,7267440.025,-2164.814655
651801.921,7272977.458,-2150.230687
651559.091,7250827.52,-2147.678365
662180.789,7295013.305,-2139.758638
651862.341,7278514.857,-2129.962801
656548.82,7245233.336,-2110
651922.644,7284052.221,-2099.220849
657111.808,7295070.993,-2093.935536
645549.701,7162278.165,-2089.155627
651498.095,7245289.95,-2088.297041
651982.833,7289589.551,-2060.600275
662244.747,7300550.74,-2043.308221
665904.035,7184196.147,-2034.336179
646623.994,7261957.071,-2033.8296
667315.811,7300491.31,-2032.373147
640588.639,7167870.157,-2031.093816
646565.256,7256419.651,-2031.035596
657173.765,7300608.34,-2024.53916
646682.621,7267494.457,-2023.262144
652042.905,7295126.847,-2020.338793
665835.417,7178657.906,-2015.06676
645610.327,7167816.181,-2006.020708
646741.136,7273031.808,-2005.655014
646506.407,7250882.196,-2004.892208
665766.672,7173119.63,-1986.355243
661008.504,7195333.651,-1985.951125
652102.863,7300664.109,-1982.052484
646799.539,7278569.125,-1981.222597
650569.366,7162222.214,-1978.51911
660942.212,7189795.566,-1976.931858
621869.877,7323107.186,-1976.891687
660875.797,7184257.446,-1965.588239
657235.604,7306145.653,-1964.657606
662308.582,7306088.141,-1962.560958
646447.446,7245344.706,-1961.901092
635567.019,7167922.238,-1959.527094
646857.831,7284106.407,-1953.121142
665697.801,7167581.319,-1949.621284
652162.704,7306201.337,-1947.119908
660809.26,7178719.292,-1946.741682
650632.084,7167760.309,-1939.142845
646916.011,7289643.655,-1937.393772
667381.644,7306028.802,-1936.581705
646974.08,7295180.869,-1930.712295
626948.317,7323062.671,-1928.212545
647032.037,7300718.049,-1923.950891
645670.842,7173354.161,-1922.19914
656040.293,7200930.859,-1917.283596
647089.882,7306255.194,-1915.849139
652222.43,7311738.531,-1914.940812
646388.374,7239807.182,-1914.924178
