Easting,Northing,RL
577948.275,7677669.526,-354.0855913
577974.207,7683203.502,-354.8859287
583089.56,7666576.188,-358.7241759
583117.348,7672110.277,-359.4814301
583145.072,7677644.333,-360.2202839
583172.733,7683178.358,-360.9415239
583200.331,7688712.351,-361.645883
583227.866,7694246.312,-362.3340466
583255.338,7699780.242,-363.0066557
583282.747,7705314.14,-363.6643118
583310.092,7710848.006,-364.3075798
588164.164,7644412.385,-362.2004659
588193.957,7649946.653,-362.9438413
588223.683,7655480.889,-363.6681372
588253.342,7661015.094,-364.3742489
588282.933,7666549.266,-365.0630044
588312.458,7672083.406,-365.7351701
588341.916,7677617.515,-366.391458
588371.306,7683151.592,-367.0325306
588400.63,7688685.637,-367.659006
588429.886,7694219.65,-368.2714619
588459.076,7699753.632,-368.870439
588488.198,7705287.583,-369.4564449
588517.253,7710821.502,-370.0299568
593287.295,7633314.869,-372.7151031
593318.983,7638849.256,-373.4891546
593350.599,7644383.611,-374.2434903
593382.145,7649917.934,-374.9790329
593413.62,7655452.225,-375.6966283
593445.024,7660986.484,-376.3970649
593476.357,7666520.712,-377.0810671
593507.619,7672054.907,-377.7493152
593538.81,7677589.071,-378.4024396
593569.93,7683123.203,-379.0410297
593600.979,7688657.303,-379.665638
593631.957,7694191.372,-380.2767836
593662.864,7699725.41,-380.8749502
593693.7,7705259.416,-381.4606001
598268.004,7600076.99,-375.5568927
598335.722,7611146.234,-377.0958062
598369.47,7616680.808,-377.833582
598403.143,7622215.349,-378.5517668
598436.741,7627749.858,-379.2513744
598470.264,7633284.335,-379.9333298
598503.713,7638818.78,-380.5984758
598537.087,7644353.193,-381.247585
598570.386,7649887.574,-381.8813721
598603.61,7655421.923,-382.5004918
598636.759,7660956.24,-383.1055558
598669.833,7666490.525,-383.6971255
598702.833,7672024.779,-384.27573
598735.758,7677559.001,-384.84186
598768.607,7683093.191,-385.3959749
598801.382,7688627.35,-385.9385061
598834.082,7694161.478,-386.4698602
598866.706,7699695.574,-386.9904159
598899.256,7705229.638,-387.5005373
603260.793,7572370.465,-380.0362491
603296.867,7577905.325,-380.7792041
603332.862,7583440.153,-381.4994224
603368.78,7588974.949,-382.1984752
603404.618,7594509.712,-382.8777463
603440.378,7600044.443,-383.5384586
603476.06,7605579.141,-384.1817008
603511.663,7611113.807,-384.8084447
603547.187,7616648.441,-385.4195637
603582.633,7622183.043,-386.015845
603618,7627717.612,-386.5980019
603653.289,7633252.15,-387.1666856
603688.498,7638786.656,-387.7224886
603723.63,7644321.129,-388.2659543
603758.682,7649855.571,-388.7975873
603793.655,7655389.981,-389.3178489
603828.55,7660924.359,-389.8271725
603863.366,7666458.706,-390.3259552
603898.103,7671993.021,-390.814574
605743.586,7206956.298,-270
605786.837,7212493.491,-240
605830.007,7218030.648,-205
605873.097,7223567.768,-190
605916.106,7229104.853,-160
605959.035,7234641.902,-135
606001.883,7240178.914,-120
606044.651,7245715.891,-110
606087.338,7251252.832,-110
606129.944,7256789.737,-135
606172.47,7262326.607,-155
606214.915,7267863.44,-180
606257.28,7273400.238,-200
606299.563,7278937.001,-205
606341.766,7284473.728,-195
606383.888,7290010.419,-155
606425.929,7295547.075,-120
606467.889,7301083.696,-90
607249.726,7406272.84,-269.3320892
607290.063,7411808.765,-305.9622962
607330.318,7417344.655,-321.7701201
608386.281,7566800.977,-388.2237257
608424.242,7572335.932,-388.8110533
608462.12,7577870.856,-389.3825238
608499.917,7583405.747,-389.9392303
608537.63,7588940.605,-390.4821204
608575.262,7594475.431,-391.0120208
608612.811,7600010.225,-391.5296554
608650.277,7605544.987,-392.0356647
608687.661,7611079.716,-392.5306161
608724.963,7616614.414,-393.0150183
608762.182,7622149.079,-393.4893273
608799.318,7627683.712,-393.9539558
608836.372,7633218.314,-394.4092815
608873.343,7638752.883,-394.8556469
608910.231,7644287.421,-395.2933669
608947.037,7649821.927,-395.7227362
608983.76,7655356.401,-396.1440234
609020.4,7660890.844,-396.5574847
609056.958,7666425.255,-396.9633533
610505.748,7173691.722,-480
610551.564,7179229.191,-430
610597.296,7184766.623,-395
610642.944,7190304.019,-360
610688.507,7195841.379,-330
610733.987,7201378.702,-305
610779.382,7206915.989,-270
610824.694,7212453.24,-235
610869.92,7217990.456,-200
610915.063,7223527.635,-160
610960.121,7229064.778,-130
611005.095,7234601.885,-105
611049.985,7240138.957,-80
611094.79,7245675.992,-70
611139.511,7251212.992,-70
611184.147,7256749.957,-100
611228.699,7262286.885,-135
611273.166,7267823.778,-175
611317.549,7273360.636,-210
611361.847,7278897.458,-245
611406.061,7284434.244,-245
611450.189,7289970.996,-235
611494.233,7295507.712,-205
611538.193,7301044.392,-170
611582.067,7306581.038,-120
612314.935,7400698.679,-278.2547756
612357.278,7406234.7,-304.4006187
612399.536,7411770.688,-336.7134638
612441.709,7417306.641,-350.9015786
612483.796,7422842.56,-360.8220029
613428.156,7550159.433,-395.9006076
613468.184,7555694.553,-396.3341116
613508.126,7561229.639,-396.7585083
613547.981,7566764.693,-397.1745349
613587.751,7572299.715,-397.5827858
613627.434,7577834.704,-397.9837496
613667.031,7583369.661,-398.3778246
613706.542,7588904.586,-398.7653414
613745.966,7594439.478,-399.1465764
613785.304,7599974.338,-399.5217611
613824.555,7605509.166,-399.891094
613863.72,7611043.962,-400.2547446
613902.799,7616578.726,-400.6128621
613941.791,7622113.458,-400.9655771
613980.697,7627648.158,-401.3130069
614019.516,7633182.826,-401.6552599
614058.248,7638717.463,-401.9924331
614096.894,7644252.067,-402.3246166
614135.453,7649786.641,-402.6518991
614173.926,7655321.182,-402.9743598
614212.312,7660855.692,-403.2920802
615384.928,7157036.372,-499.44051
615433.091,7162574.009,-573.2703343
615481.166,7168111.611,-600
615529.154,7173649.176,-550
615577.053,7179186.704,-505
615624.865,7184724.197,-460
615672.589,7190261.653,-420
615720.225,7195799.073,-380
615767.773,7201336.457,-340
615815.233,7206873.805,-295
615862.604,7212411.117,-240
615909.888,7217948.393,-195
615957.084,7223485.634,-150
616004.191,7229022.838,-105
616051.211,7234560.007,-80
616098.142,7240097.14,-50
616144.985,7245634.237,-40
616191.739,7251171.299,-40
616238.406,7256708.325,-70
616284.983,7262245.315,-135
616331.473,7267782.27,-205
616377.874,7273319.19,-275
616424.187,7278856.075,-325
616470.411,7284392.924,-345
616516.547,7289929.738,-350
616562.594,7295466.516,-325
616608.552,7301003.26,-280
616654.422,7306539.968,-225
617376.261,7395122.579,-283.7397272
617420.62,7400658.699,-316.6844459
617464.889,7406194.786,-343.5937661
617509.069,7411730.838,-363.2653356
617553.159,7417266.857,-375.2618744
617597.161,7422802.841,-382.985937
618584.469,7550121.256,-436.199739
618626.318,7555656.444,-437.9855748
618668.076,7561191.599,-439.7540469
618709.744,7566726.722,-441.5046
618751.323,7572261.812,-443.2367434
618792.81,7577796.87,-444.9500458
618834.208,7583331.896,-446.6441471
618875.516,7588866.89,-448.3187444
618916.733,7594401.851,-449.9735909
618957.86,7599936.78,-451.6084972
618998.897,7605471.678,-453.2233227
619039.843,7611006.543,-454.8179693
619080.699,7616541.377,-456.3923884
619121.464,7622076.179,-457.946563
619162.139,7627610.949,-459.4805158
619202.724,7633145.687,-460.9942988
619243.218,7638680.394,-462.4879921
619283.622,7644215.069,-463.9617015
619323.935,7649749.712,-465.4155558
619364.157,7655284.324,-466.8497017
619404.289,7660818.905,-468.2643065
620301.325,7145916.237,-366.1919259
620351.766,7151454.01,-427.813911
620402.116,7156991.746,-516.1307814
620452.374,7162529.446,-616.0424946
620502.54,7168067.11,-670
620552.615,7173604.737,-630
620602.599,7179142.329,-595
620652.49,7184679.884,-540
620702.29,7190217.403,-495
620751.998,7195754.887,-440
620801.615,7201292.334,-380
620851.139,7206829.745,-330
620900.572,7212367.121,-275
620949.913,7217904.461,-205
620999.162,7223441.765,-160
