Easting,Northing,RL
650757.178,7178836.392,-2284.346805
650694.688,7173298.368,-2283.746172
655847.637,7184316.857,-2283.716982
655783.181,7178778.787,-2283.549753
650819.552,7184374.381,-2283.502327
655911.974,7189854.893,-2283.005515
660809.26,7178719.292,-2282.515204
645670.842,7173354.161,-2282.374329
645610.327,7167816.181,-2281.432765
655718.607,7173240.682,-2281.359856
645731.247,7178892.106,-2280.759246
640588.639,7167870.157,-2280.404353
650632.084,7167760.309,-2280.039826
645791.54,7184430.016,-2278.546525
650881.812,7189912.334,-2278.367423
640647.066,7173408.061,-2277.345099
655653.914,7167702.541,-2275.640581
645851.723,7189967.891,-2274.125535
640705.386,7178945.931,-2273.959402
640763.599,7184483.764,-2270.989986
640821.705,7190021.562,-2267.999516
635567.019,7167922.238,-2267.935386
635623.358,7173460.069,-2266.040581
640879.704,7195559.325,-2265.986655
635679.593,7178997.865,-2263.63965
635735.726,7184535.625,-2261.236351
635791.755,7190073.349,-2260.739382
