Easting,Northing,RL
691661.135,6895724.781,-2205.33185
691749.77,6901265.362,-2198.557385
693406.026,7006529.676,-1463.435665
693747.958,7028688.972,-1374.651336
693833.073,7034228.71,-1347.47906
693918.04,7039768.413,-1353.020319
694002.86,7045308.081,-1394.083335
696576.63,6895645.072,-1835.099252
696667.541,6901185.746,-1794.333947
696758.302,6906726.386,-1799.04447
698278.274,7000911.878,-1508.535583
698366.329,7006451.887,-1380
698717.042,7028611.579,-1366.856261
698804.343,7034151.416,-1328.322221
698891.492,7039691.218,-1337.406564
698978.49,7045230.987,-1389.614159
699065.337,7050770.721,-1462.287974
701398.87,6890022.536,-1705.403965
701492.21,6895563.342,-1542.884325
701585.397,6901104.113,-1464.980206
701678.43,6906644.848,-1593.56666
703146.046,6995291.871,-1559.081558
703236.462,7000832.016,-1650
703326.722,7006372.126,-1527.837599
703596.576,7022992.25,-1433.395321
703686.217,7028532.223,-1345.942939
703775.703,7034072.162,-1308.779141
703865.035,7039612.067,-1323.114933
703954.211,7045151.938,-1401.526487
703970.423,6756946.4,-1209.896742
704069.793,6762488.155,-1279.459875
704169.006,6768029.874,-1340.171144
704268.065,6773571.557,-1398.701262
704366.967,6779113.204,-1454.481273
704465.715,6784654.816,-1507.024119
706312.255,6889938.686,-1632.596312
706407.876,6895479.591,-1497.188269
706503.339,6901020.46,-1443.694182
706598.645,6906561.294,-1529.155877
708102.117,6995209.931,-1631.805726
708194.741,7000750.179,-1587.557276
708287.206,7006290.392,-1535.095873
708379.514,7011830.571,-1534.07313
708471.662,7017370.716,-1511.83322
708563.653,7022910.828,-1435.847129
708655.484,7028450.905,-1372.324673
708747.157,7033990.948,-1320.396895
711162.081,7183559.463,-2449.089273
711249.282,7189098.575,-2419.666858
711336.323,7194637.655,-2386.003356
712283.154,7255565.39,-2517.725138
712368.263,7261104.082,-2511.111499
712453.21,7266642.742,-2505.200672
712537.996,7272181.37,-2499.20848
712622.62,7277719.966,-2491.80477
712707.082,7283258.53,-2481.676325
712791.383,7288797.063,-2469.613492
712875.522,7294335.563,-2452.974583
712959.499,7299874.033,-2435.08689
706233.095,6618300.275,-232.7342145
706338.786,6623843.027,-239.2389939
708726.147,6751316.307,-1171.331118
708828.044,6756858.192,-1229.475296
708929.783,6762400.041,-1298.531542
709031.363,6767941.854,-1363.768
709132.784,6773483.632,-1425.225116
709234.046,6779025.374,-1483.524948
709335.148,6784567.081,-1538.090957
709436.091,6790108.752,-1661.514811
711127.667,6884311.774,-1742.738305
711225.728,6889852.813,-1652.511914
711323.63,6895393.818,-1570.563201
711421.37,6900934.788,-1541.519389
711518.949,6906475.723,-1572.852326
713058.28,6995126.013,-1751.267268
713153.113,7000666.366,-1760
713247.784,7006206.685,-1650
713342.293,7011746.971,-1544.886393
713436.64,7017287.222,-1547.388666
713530.824,7022827.44,-1529.639624
713624.846,7028367.624,-1501.422667
713718.705,7033907.774,-1466.754304
713812.402,7039447.891,-1474.415479
715922.4,7166861.4,-2543.797608
716012.174,7172400.724,-2534.069335
716101.785,7177940.014,-2518.113847
716191.231,7183479.273,-2495.300825
716280.512,7189018.499,-2465.33996
716369.629,7194557.692,-2429.251434
716458.582,7200096.854,-2387.471141
716547.37,7205635.983,-2344.386565
716635.993,7211175.08,-2331.254249
717164.273,7244408.987,-2569.875937
717251.742,7249947.859,-2553.209161
717339.046,7255486.7,-2543.014969
717426.184,7261025.509,-2536.277949
717513.158,7266564.287,-2530.677421
717599.966,7272103.032,-2525.201964
717686.608,7277641.746,-2518.093625
717773.085,7283180.428,-2507.200441
717859.397,7288719.079,-2490.833201
717945.543,7294257.698,-2468.838829
718031.523,7299796.286,-2444.114662
718117.338,7305334.843,-2418.97903
718202.987,7310873.368,-2396.148945
708722.128,6501799.549,51.25142712
708833.639,6507343.161,90.17685515
711030.348,6618207.666,-235.1920709
711138.501,6623750.508,-243.3094215
711246.493,6629293.313,-272.0898413
713477.043,6745683.907,-1113.238998
713581.477,6751225.924,-1176.311268
713685.749,6756767.904,-1246.525006
713789.858,6762309.85,-1319.315617
713893.804,6767851.76,-1387.480873
713997.588,6773393.635,-1454.365947
714101.209,6778935.474,-1516.437667
714204.666,6784477.279,-1574.297491
714307.961,6790019.048,-1691.660572
716038.946,6884223.774,-1780.584689
716139.292,6889764.916,-1715.677612
716239.474,6895306.023,-1663.214036
716339.491,6900847.097,-1642.210351
716439.344,6906388.135,-1654.535745
718014.538,6995040.117,-1870
718111.581,7000580.578,-1890
718208.458,7006121.005,-1750
718305.169,7011661.399,-1623.580786
718401.714,7017201.76,-1648.646039
718498.092,7022742.086,-1680.914885
718594.305,7028282.38,-1699.455262
718690.351,7033822.639,-1701.513005
718786.231,7039362.866,-1705.957351
720761.154,7155699.996,-2601.195571
720853.356,7161239.5,-2603.605153
720945.39,7166778.971,-2598.738184
721037.257,7172318.41,-2589.988148
721128.955,7177857.817,-2575.54186
721220.485,7183397.192,-2554.182808
721311.847,7188936.535,-2525.89765
721403.041,7194475.845,-2490.329444
721494.066,7200015.124,-2451.867056
721584.923,7205554.37,-2419.220486
721675.611,7211093.585,-2413.836134
721766.131,7216632.767,-2452.727144
721856.482,7222171.918,-2530.80185
721946.665,7227711.037,-2656.704073
722036.679,7233250.124,-2680.302171
722126.524,7238789.179,-2619.483348
722216.2,7244328.203,-2589.86359
722305.707,7249867.195,-2577.232478
722395.045,7255406.155,-2569.500559
722484.214,7260945.084,-2563.478827
722573.214,7266483.982,-2558.914872
722662.045,7272022.848,-2554.583035
722750.706,7277561.682,-2548.7251
722839.198,7283100.485,-2538.947103
722927.521,7288639.257,-2519.629279
723015.674,7294177.998,-2491.972341
723103.658,7299716.707,-2461.674469
723191.472,7305255.385,-2430.388514
723279.117,7310794.033,-2398.641289
723366.591,7316332.649,-2366.981567
723714.792,7338486.803,-2648.363748
723801.417,7344025.265,-2742.572337
723887.872,7349563.695,-2797.520206
713352.695,6496159.218,-0.581063526
713466.908,6501702.952,61.94992658
713580.958,6507246.649,103.0793305
715716.899,6612569.955,-260
715827.679,6618112.925,-245.2855387
715938.295,6623655.858,-270.6788708
716048.746,6629198.755,-305.7721174
716159.032,6634741.616,-299.1056876
716598.531,6656912.702,-310.9051213
716707.993,6662455.384,-343.776809
716817.29,6667998.03,-360.1137236
716926.423,6673540.641,-372.0759329
717035.39,6679083.215,-399.1850731
717144.192,6684625.755,-461.5829521
717252.828,6690168.258,-492.3569922
717361.299,6695710.726,-540.1620425
717469.605,6701253.159,-582.4983357
717577.745,6706795.556,-624.2048082
717685.719,6712337.917,-711.5410785
717793.527,6717880.243,-784.9870215
717901.17,6723422.534,-843.7659559
718008.647,6728964.789,-900.3865954
718115.957,6734507.01,-974.6452478
718223.102,6740049.194,-1046.293195
718330.081,6745591.344,-1115.376055
718436.893,6751133.458,-1189.803619
718543.539,6756675.538,-1264.050177
718650.018,6762217.582,-1340.5343
718756.331,6767759.591,-1412.499765
718862.478,6773301.565,-1481.394743
718968.458,6778843.504,-1547.428636
720950.316,6884133.747,-1838.294082
721052.948,6889674.994,-1792.029348
721155.411,6895216.207,-1756.766491
721257.706,6900757.386,-1741.90086
721359.832,6906298.53,-1749.248905
722970.894,6994952.243,-1970.051306
723070.147,7000492.814,-1900.235719
723169.23,7006033.352,-1850
723268.143,7011573.857,-1732.786812
723366.886,7017114.329,-1790.36335
723465.46,7022654.767,-1864.365964
723563.863,7028195.172,-1937.415925
723662.096,7033735.544,-1970.878954
