Easting,Northing,RL
931113.975,6367053.127,-1378.159317
926423.822,6367256.16,-1354.826518
926184.72,6361706.073,-1349.551535
930872.227,6361502.879,-1329.183964
921497.347,6361907.03,-1324.406691
935804.264,6366847.86,-1274.499109
935559.87,6361297.449,-1241.074845
893375.859,6363065.85,-1235.276506
898062.454,6362878.297,-1200
931355.394,6372603.359,-1128.087544
893596.456,6368614.861,-1124.841604
898285.693,6368427.457,-1122.548099
921260.569,6356357.085,-1117.915378
925945.293,6356155.969,-1113.607259
902749.175,6362688.511,-1102.315083
930630.151,6355952.616,-1098.212027
916810.108,6362105.752,-1096.528208
940494.692,6366640.357,-1084.851459
936048.327,6372398.255,-1082.619921
940247.651,6361089.783,-1082.536063
885076.688,6391177.639,-1062.27803
902975.057,6368237.821,-1057.85643
935315.144,6355747.024,-1047.691698
889776.204,6390995.282,-1031.889281
888907.344,6368800.034,-1031.32135
861580.941,6392056.096,-1029.364544
885290.538,6396726.251,-1029.213718
880377.296,6391357.774,-992.6496828
889992.676,6396544.041,-990.6629892
866279.851,6391884.847,-987.2745915
870978.879,6391711.378,-983.6237728
940741.398,6372190.917,-980.4719608
852963.876,6414582.29,-976.5341273
875678.027,6391535.687,-974.2684503
940000.274,6355539.194,-965.3134494
880588.524,6396906.24,-963.7489315
857673.01,6414416.026,-953.7513414
847677.79,6398104.014,-934.0465755
852378.974,6397939.559,-932.5080864
843356.47,6409360.897,-931.9581267
916106.767,6345456.334,-929.5521641
875886.633,6397084.009,-927.3231768
857080.271,6397772.887,-923.7162362
871184.864,6397259.557,-922.182149
944935.571,6360879.879,-917.5634821
842976.719,6398266.251,-916.793179
857870.044,6419963.69,-910.7687483
862382.261,6414247.549,-909.2424521
897615.066,6351779.918,-904.8604984
945185.26,6366430.619,-898.4606929
861781.685,6397603.996,-890.006886
866483.215,6397432.886,-889.5169567
925705.542,6350605.85,-888.4655977
911427.613,6345653.284,-886.5942807
944685.543,6355329.125,-885.9086756
930387.746,6350402.337,-885.0407381
884862.544,6385629.006,-880.3584111
848062.767,6409198.924,-878.8008789
907436.023,6362496.493,-877.5064802
885504.094,6402274.841,-875.1209208
893816.754,6374163.851,-874.8221303
935070.086,6350196.584,-873.9408303
936292.057,6377948.634,-870.043404
920548.311,6339707.148,-865.705298
889125.004,6374348.878,-863.6329835
939752.562,6349988.591,-858.2901684
921023.47,6350807.123,-857.8713784
880799.461,6402454.684,-857.4948907
931596.485,6378153.575,-852.7570645
920786.051,6345257.144,-849.875821
940987.769,6377741.462,-846.9427389
902522.987,6357139.182,-843.0457531
890208.852,6402092.779,-842.6375779
897838.912,6357329.118,-840
944435.176,6349778.357,-839.1957175
925465.466,6345055.713,-837.3460469
912123,6362302.24,-835.1347666
930145.014,6344852.042,-832.3029794
876094.952,6402632.307,-830.6289269
934824.697,6344646.128,-829.5607671
939504.515,6344437.973,-828.0568854
945434.61,6371981.345,-827.875028
944184.471,6344227.575,-827.1608498
948864.565,6344014.934,-826.58577
953544.799,6343800.049,-826.197431
958225.175,6343582.92,-825.9230733
962905.695,6343363.547,-825.7234056
967586.358,6343141.928,-825.5736876
972267.168,6342918.063,-825.459277
976948.125,6342691.952,-825.3701009
981629.231,6342463.594,-825.3001176
986310.487,6342232.988,-825.2324546
990991.895,6342000.134,-825.1366923
939256.133,6338887.341,-825.0000001
976678.43,6337139.965,-825
929901.954,6339301.731,-825
981356.868,6336911.429,-825
967321.995,6337590.29,-825
972000.139,6337366.251,-825
934578.976,6339095.658,-825
925225.066,6339505.561,-825
962643.997,6337812.08,-825
943933.427,6338676.779,-825
953288.43,6338248.922,-825
957966.142,6338031.624,-824.9999999
948610.858,6338463.973,-824.9999999
986035.457,6336680.645,-824.9999997
990714.196,6336447.611,-824.9999996
995393.088,6336212.326,-824.9999996
995673.456,6341765.032,-824.5273602
949117.929,6349565.881,-820.9208479
838463.151,6403973.477,-814.5442674
852769.177,6409034.738,-812.3499213
996791.151,6363975.791,-812.06784
871390.566,6402807.713,-810.7638392
926901.051,6378356.285,-809.2761469
992098.948,6364210.157,-808.3071376
949370.952,6355116.816,-806.3825167
843166.725,6403813.587,-805.4480834
889559.434,6385446.501,-805.3485946
898508.629,6373976.596,-804.8520573
916575.978,6356555.964,-803.992822
986585.147,6347785.323,-803.9272755
953800.823,6349351.164,-803.3048686
987406.902,6364442.282,-803.1322192
981901.226,6348015.749,-798.9674835
991269.22,6347552.65,-797.9406282
949623.632,6360667.737,-794.8595798
995953.447,6347317.731,-792.787623
857475.702,6408868.338,-792.6906506
977217.457,6348243.93,-789.2061111
847870.411,6403651.482,-787.9216895
907892.762,6373595.397,-787.0738721
862581.901,6419795.352,-786.0284956
958483.86,6349134.204,-783.1946831
866686.299,6402980.901,-781.2456424
972533.837,6348469.865,-777.4774132
862182.344,6408699.722,-773.2261975
916341.531,6351006.158,-772.157391
858066.806,6425511.329,-771.4875407
852574.21,6403487.161,-771.1711447
963167.04,6348915.001,-769.4314552
967850.365,6348693.555,-768.3530532
949875.969,6366218.644,-767.5103935
857278.123,6403320.624,-763.0572469
903200.631,6373787.112,-756.151882
861982.152,6403151.871,-754.3564576
996233.059,6352870.424,-753.9836806
991546.17,6353105.16,-749.0301332
917510.591,6378755.012,-747.6162052
894694.941,6396359.609,-744.7580856
894475.845,6390810.701,-741.3414035
866889.105,6408528.892,-739.2941471
986859.436,6353337.65,-738.239238
894913.737,6401908.498,-732.1050554
885717.357,6407823.41,-728.7616544
954056.502,6354902.266,-727.5276974
890424.73,6407641.497,-721.4569047
950127.964,6371769.539,-717.4741288
881010.109,6408003.105,-717.4696676
867091.63,6414076.859,-716.3429139
996512.294,6358423.11,-711.4686907
982172.855,6353567.896,-710.2822204
889342.367,6379897.7,-709.7721296
902296.492,6351589.834,-709.5264814
871595.984,6408355.846,-709.1263559
906748.588,6345847.995,-707.8704156
876302.985,6408180.584,-707.596539
991822.747,6358657.662,-696.1014034
894036.751,6379712.822,-693.6554742
895132.231,6407457.366,-685.9147726
912815.562,6378951.031,-672.7581154
987133.355,6358889.97,-671.1806196
977486.426,6353795.898,-669.6305092
894256.448,6385261.771,-664.6739431
954311.834,6360453.356,-650.1941516
858263.295,6431058.944,-641.6051291
899839.861,6407271.017,-639.4151854
958742.195,6354685.476,-637.5955964
982444.116,6359120.035,-623.2374071
904547.621,6407082.449,-621.8034229
954566.821,6366004.433,-618.0444262
899618.75,6401721.996,-617.7013228
972800.146,6354021.657,-616.7338658
897390.917,6346230.699,-598.732391
890640.311,6413190.193,-594.2684889
954821.461,6371555.498,-594.0020228
895350.425,6413006.214,-592.1041726
871801.12,6413903.955,-591.8046972
922441.246,6384106.641,-590.284034
909029.166,6401342.331,-586.5845995
982715.01,6364672.165,-586.4690654
898731.261,6379525.716,-582.1672948
862781.264,6425343.131,-582.0103287
900060.668,6412820.018,-580.6220156
885930.326,6413371.957,-579.5521655
904323.892,6401533.274,-575.3291094
867293.876,6419624.803,-571.7303957
963428.032,6354466.445,-569.4295827
917743.449,6384304.73,-568.8494322
968114.016,6354245.172,-567.1815935
908120.665,6379144.821,-556.1003837
876510.731,6413728.837,-555.4324887
881220.466,6413551.505,-549.8451272
898953.589,6385074.816,-527.1862878
902069.69,6346040.466,-522.8773048
913505.293,6395599.66,-520.6342376
913045.787,6384500.592,-519.5363127
858459.511,6436606.534,-517.4301072
899175.614,6390623.896,-514.9839049
978023.271,6364899.808,-514.2900241
908802.508,6395792.982,-505.089114
959000.181,6360236.737,-498.4424835
913275.697,6390050.135,-496.4314476
899397.334,6396172.956,-495.2020222
890855.595,6418738.869,-494.3763098
904099.855,6395984.08,-478.5197808
908348.257,6384694.227,-476.5134821
977755.03,6359347.858,-465
903650.858,6384885.635,-462.0485907
903875.511,6390434.867,-456.9995618
886143,6418920.482,-455.3518446
908575.538,6390243.614,-453.3992146
903425.898,6379336.383,-450.2078936
907207.188,6356947.012,-448.1880432
862980.352,6430890.886,-437.27063
872005.972,6419452.042,-422.3860095
906978.043,6351397.513,-421.687481
911891.518,6356752.606,-410.7441115
881430.533,6419099.882,-408.9308533
911659.723,6351202.954,-394.0779486
973331.684,6365125.211,-385
876718.191,6419277.068,-381.2987106
863179.162,6436438.616,-370.0610383
959257.817,6365787.985,-370
973066.095,6359573.439,-365
963688.672,6360017.878,-355.6829204
968377.31,6359796.778,-345
867495.842,6425172.723,-327.4607567
968640.247,6365348.374,-280
881640.309,6424648.237,-268.3322566
867697.528,6430720.62,-199.7978644
867898.934,6436268.493,-193.3161409
876925.363,6424825.277,-191.7109722
963948.958,6365569.299,-190
872210.541,6425000.105,-181.3021
