Easting,Northing,RL
782329.578,6988201.222,-1504.390523
756041.548,6916698.599,-1498.113301
782203.354,6982659.072,-1497.120892
760847.468,6911051.084,-1496.043081
751115.809,6916802.087,-1494.703093
751231.011,6922343.82,-1494.20667
756159.015,6922240.456,-1490.690603
746303.116,6922445.171,-1489.414436
755923.887,6911156.711,-1488.385206
746190.179,6916903.559,-1486.897045
751346.022,6927885.521,-1486.86971
760967.398,6916593.098,-1486.006244
787285.187,6988087.461,-1485.959252
746415.866,6927986.751,-1485.144964
751000.417,6911260.321,-1480.708606
741375.328,6922544.511,-1479.900832
756276.286,6927782.281,-1479.344117
777250.093,6982770.987,-1478.802302
746528.429,6933528.298,-1477.4571
751460.841,6933427.189,-1477.244899
741485.818,6928085.972,-1477.073813
741264.655,6917003.018,-1476.988227
777374.095,6988312.998,-1475.662802
746077.054,6911361.915,-1473.620855
761087.129,6922135.08,-1471.522658
787156.741,6982545.169,-1471.479588
741596.124,6933627.4,-1470.612484
746640.804,6939069.813,-1468.490237
756393.362,6933324.074,-1467.967991
751575.469,6938968.826,-1467.520457
736447.645,6922641.84,-1466.950463
741153.798,6911461.492,-1466.162592
736339.235,6917100.463,-1464.920614
736555.875,6928183.184,-1464.418633
741706.246,6939168.795,-1462.10155
746752.991,6944611.295,-1459.438265
761206.662,6927677.031,-1458.93584
751689.905,6944510.431,-1458.71267
736663.925,6933724.495,-1458.430127
756510.244,6938865.835,-1457.811995
736230.645,6911559.053,-1457.38326
772296.955,6982880.916,-1456.80375
741816.185,6944710.158,-1452.52943
777125.879,6977228.947,-1451.407254
751804.15,6950052.004,-1451.134968
731520.064,6922737.158,-1450.96024
746864.99,6950152.745,-1450.863908
736771.794,6939265.773,-1449.932066
731413.917,6917195.894,-1449.885267
756626.93,6944407.564,-1449.459591
731626.034,6928278.388,-1448.23775
761325.996,6933218.95,-1447.90493
745963.742,6905820.238,-1447.715154
772418.736,6988422.789,-1447.35229
772174.966,6977339.012,-1446.744514
750884.833,6905718.524,-1446.724918
741042.757,6905919.933,-1446.120188
782455.587,6993743.342,-1445.76902
731307.594,6911654.598,-1444.57005
751918.203,6955593.544,-1444.275429
756743.42,6949949.262,-1443.097513
746976.802,6955694.163,-1442.785042
782076.916,6977116.892,-1442.637901
741925.939,6950251.488,-1442.386551
736121.875,6906017.609,-1442.29826
731731.828,6933819.584,-1442.277697
755806.031,6905614.79,-1441.71052
736879.484,6944807.018,-1439.48205
761445.131,6938760.838,-1438.477761
756859.716,6955490.928,-1438.263972
777497.887,6993854.978,-1437.276035
767224.173,6977447.088,-1436.320063
752032.065,6961135.053,-1436.078729
767343.938,6982988.858,-1434.830266
747088.426,6961235.549,-1433.782259
731837.446,6939360.747,-1433.564196
