Easting,Northing,RL
800516.299,6921219.594,-2005.492072
795587.22,6921341.08,-2000.071892
800378.436,6915676.519,-1994.20072
782329.578,6988201.222,-1991.262741
782203.354,6982659.072,-1990.073694
756510.244,6938865.835,-1988.74291
777250.093,6982770.987,-1986.937537
805305.377,6915552.871,-1985.214258
777374.095,6988312.998,-1984.601016
800653.934,6926762.641,-1984.090475
795451.624,6915798.149,-1983.216748
790658.268,6921460.55,-1983.146711
761445.131,6938760.838,-1982.611758
795722.59,6926883.981,-1982.507401
761564.067,6944302.695,-1980.792358
805445.509,6921096.094,-1980.744954
772296.955,6982880.916,-1980.741354
756626.93,6944407.564,-1979.241324
772418.736,6988422.789,-1977.992508
767343.938,6982988.858,-1973.507081
787285.187,6988087.461,-1972.510625
772174.966,6977339.012,-1972.228192
790791.375,6927003.308,-1971.304724
766380.132,6938653.837,-1970.585361
767463.499,6988530.597,-1970.433875
787156.741,6982545.169,-1969.241168
766501.318,6944195.823,-1968.279612
761325.996,6933218.95,-1967.516582
761682.803,6949844.52,-1966.432466
790524.94,6915917.762,-1966.222935
777125.879,6977228.947,-1965.85468
756393.362,6933324.074,-1963.097956
766258.743,6933111.819,-1962.810523
767224.173,6977447.088,-1962.707895
751575.469,6938968.826,-1961.497725
766622.301,6949737.778,-1958.69841
762508.381,6988636.421,-1958.456999
785729.443,6921578.006,-1957.90811
785860.286,6927120.624,-1957.131493
805585.408,6926639.289,-1955.760125
771315.249,6938544.829,-1955.325771
777497.887,6993854.978,-1954.586904
772540.311,6993964.632,-1954.404369
782076.916,6977116.892,-1953.756088
771191.606,6933002.68,-1952.890387
772052.77,6971797.078,-1951.137301
756743.42,6949949.262,-1949.579659
762391.04,6983094.814,-1949.452641
771438.686,6944086.947,-1948.101454
767582.857,6994072.305,-1947.949345
751689.905,6944510.431,-1946.83874
767104.205,6971905.288,-1946.401786
782455.587,6993743.342,-1946.286169
776124.587,6932891.533,-1944.463355
780929.322,6927235.927,-1944.385597
766743.082,6955279.702,-1943.927501
761801.341,6955386.314,-1943.241706
777001.455,6971686.876,-1941.289429
761206.662,6927677.031,-1940.766483
766137.151,6927569.771,-1940.557019
800791.34,6932305.659,-1939.242448
795857.736,6932426.853,-1937.980837
766984.034,6966363.457,-1937.713653
771067.756,6927460.501,-1937.70911
775998.479,6927349.22,-1937.662562
800240.344,6910133.414,-1937.438706
805165.013,6910009.619,-1937.355606
781057.688,6932778.377,-1936.505933
762273.499,6977553.176,-1936.479456
771561.916,6949629.035,-1935.578666
766863.659,6960821.595,-1935.284012
776250.485,6938433.816,-1935.06189
771930.366,6966255.113,-1934.99935
751460.841,6933427.189,-1934.159636
790924.261,6932546.038,-1934.045672
785990.912,6932663.212,-1933.848928
756276.286,6927782.281,-1931.493921
785598.382,6916035.358,-1930.750707
762625.523,6994177.996,-1930.568228
780800.741,6921693.448,-1927.850141
761919.68,6960928.076,-1927.22794
771684.94,6955171.091,-1925.634386
787028.078,6977002.848,-1925.302116
762155.759,6972011.508,-1924.631798
771807.756,6960713.117,-1924.207352
756859.716,6955490.928,-1921.646303
762037.819,6966469.808,-1921.391307
787413.413,6993629.724,-1919.59459
792110.256,6982429.28,-1919.393984
776376.173,6943976.068,-1918.383893
772661.678,6999506.444,-1917.268817
795315.804,6910255.189,-1916.861453
805725.074,6932182.455,-1916.027871
781950.262,6971574.682,-1915.705305
767702.011,6999613.982,-1915.019923
792240.924,6987971.716,-1914.785177
776876.819,6966144.775,-1914.065496
781185.841,6938320.796,-1912.074241
751804.15,6950052.004,-1911.11824
777621.467,6999396.928,-1909.876304
775872.161,6921806.876,-1907.72874
757553.381,6988740.261,-1906.399517
790391.391,6910374.944,-1906.160248
766015.357,6922027.692,-1905.792726
761087.129,6922135.08,-1905.615509
751346.022,6927885.521,-1904.994274
757438.259,6983198.784,-1903.498434
762742.464,6999719.541,-1902.700474
770943.7,6921918.29,-1901.208667
776501.65,6949518.291,-1899.777262
756975.816,6961032.562,-1898.312577
756159.015,6922240.456,-1897.045391
757668.306,6994281.707,-1894.112939
776751.974,6960602.644,-1894.031371
757322.942,6977657.276,-1893.59605
746640.804,6939069.813,-1892.094551
786121.321,6938205.77,-1891.516401
782581.381,6999285.432,-1890.899338
776626.917,6955060.482,-1890.476782
757091.72,6966574.165,-1886.782014
757207.429,6972115.736,-1885.478387
791979.367,6976886.814,-1884.667418
805864.508,6937725.593,-1884.301047
746752.991,6944611.295,-1881.815289
781313.78,6943863.186,-1881.427213
767820.962,7005155.628,-1879.636083
751918.203,6955593.544,-1878.880419
746528.429,6933528.298,-1878.868
780671.947,6916150.938,-1877.481338
800928.517,6937848.649,-1877.470022
781823.395,6966032.443,-1876.881626
772782.838,7005048.227,-1876.366282
757783.035,6999823.121,-1875.939066
751231.011,6922343.82,-1875.874448
791056.925,6938088.737,-1875.42576
786899.195,6971460.497,-1875.034795
797063.902,6982311.402,-1874.391018
