Easting,Northing,RL
806836.5,6610362.179,-14.49003906
811633.295,6610224.593,-4.024635887
811793.466,6615769.818,57.64384535
811472.887,6604679.339,65.51983154
816755.254,6621175.555,98.33943679
811312.242,6599134.057,107.2156924
802195.043,6616042.587,116.5666982
806994.198,6615907.272,116.6890368
811953.4,6621315.014,131.0585249
802350.038,6621587.52,135.6098167
812113.096,6626860.181,142.3919578
806678.568,6604817.058,144.1060864
802039.818,6610497.625,145.1427757
797548.526,6621720.569,149.2999113
811151.359,6593588.745,152.2514449
807308.892,6626997.369,153.590509
807151.662,6621452.335,171.9486598
797396,6616175.765,179.7771428
806520.403,6599271.906,185.1261042
802504.802,6627132.423,187.7194229
806362.005,6593726.726,196.9882822
792747.125,6621851.481,201.2696205
801728.677,6599407.611,210.9371422
810990.239,6588043.404,222.8110184
801572.763,6593862.559,246.0673525
806203.373,6588181.515,255
797700.825,6627265.343,268.9098518
