Easting,Northern,RL
661988.174,7278400.797,-2400
641961.285,7300770.158,-2374.002302
636890.606,7300820.437,-2372.87658
652042.905,7295126.847,-2370.640004
646974.08,7295180.869,-2366.251731
657049.73,7289533.612,-2364.152682
641905.329,7295233.058,-2362.219566
636836.649,7295283.414,-2361.171397
662052.502,7283938.333,-2360
651982.833,7289589.551,-2359.328383
646916.011,7289643.655,-2354.90194
641849.264,7289695.924,-2350.962356
651922.644,7284052.221,-2350.94091
636782.588,7289746.357,-2349.938886
656987.534,7283996.197,-2349.686579
631715.981,7289794.954,-2347.043813
646857.831,7284106.407,-2346.654537
641793.092,7284158.755,-2343.040386
661923.723,7272863.226,-2342
656925.218,7278458.748,-2340.614998
651862.341,7278514.857,-2340.361025
636728.423,7284209.265,-2336.885419
646799.539,7278569.125,-2336.004991
631663.824,7284257.936,-2334.016813
641736.811,7278621.552,-2332.500774
656862.783,7272921.264,-2331.959667
651801.921,7272977.458,-2330.122474
636674.154,7278672.138,-2326.804039
646741.136,7273031.808,-2325.764251
631611.566,7278720.883,-2324.173001
656800.229,7267383.747,-2323.583533
641680.423,7273084.314,-2322.445885
651741.387,7267440.025,-2320.1365
636619.782,7273134.976,-2317.249853
646682.621,7267494.457,-2315.940384
631559.209,7273183.795,-2314.869873
641623.928,7267547.042,-2312.94339
651680.737,7261902.558,-2310.37842
636565.306,7267597.78,-2308.285859
646623.994,7261957.071,-2306.690196
631506.751,7267646.672,-2306.16745
641567.324,7262009.734,-2304.170516
651619.972,7256365.057,-2300.745693
636510.725,7262060.549,-2300.021471
631454.194,7262109.514,-2298.145615
646565.256,7256419.651,-2297.153914
641510.614,7256472.393,-2294.282564
656611.851,7250770.99,-2270
656737.555,7261846.196,-2270
631136.753,7228885.828,-2260.787825
636401.254,7250985.981,-2260
636456.041,7256523.282,-2260
641453.795,7250935.016,-2250
646506.407,7250882.196,-2240
656674.762,7256308.61,-2240
661794.451,7261787.984,-2240
631295.923,7245497.829,-2220
651559.091,7250827.52,-2220
631348.78,7251035.092,-2210
631189.91,7234423.197,-2200
641396.869,7245397.604,-2200
631401.537,7256572.32,-2200
661729.631,7256250.311,-2200
636236.269,7234373.868,-2170
631242.966,7239960.53,-2170
636291.367,7239911.274,-2150
636346.362,7245448.645,-2150
646447.446,7245344.706,-2140
656548.82,7245233.336,-2120
661664.688,7250712.605,-2120
626092.505,7228933.363,-2110
626143.615,7234470.663,-2100
651498.095,7245289.95,-2100
626194.63,7240007.927,-2070
641339.836,7239860.158,-2050
626245.549,7245545.155,-2040
626041.299,7223396.028,-2030
641282.695,7234322.677,-1975
621097.383,7234516.266,-1900
621146.356,7240053.463,-1900
621048.318,7228979.033,-1850
