,ID,lon,lat,easting,northing,projection,elevation,gw_bore_depth,gw_level,gw_level_std
0,10116903.0,150.50567173,-31.65957253,832440.8424108992,6491954.900025706,56.0,333.4488056012309,10.0,1.227,0.6185636588096652
3,10157969.0,150.1179,-30.8095,798314.1897387032,6587350.079621529,56.0,250.64,107.0,10.874999999999998,1.0096954986529352
4,10158139.0,153.4141,-28.7994,1126640.8514952688,6797296.075760048,56.0,108.69516799999948,136.0,8.484193548387097,0.4991074239114642
5,10158018.0,150.4389,-31.0779,828123.7312135175,6556677.872415281,56.0,272.87353599999994,106.7,13.71655462184874,5.002212861076651
6,10158015.0,147.4806,-33.7657,544504.0514530366,6263718.505065197,55.0,209.0660480000008,106.0,15.451320754716981,3.2842362414371538
7,10158028.0,146.7023692,-36.00818703,473177.97895396175,6015102.528328253,55.0,148.38802479999356,118.0,3.7221904761904754,0.3683114131440325
8,10157998.0,148.15478869999998,-32.04694023,609023.6081395667,6453778.294844348,55.0,224.0647292166267,111.5,16.61135135135135,3.675098941240029
9,10018145.0,150.09112856,-29.63148515,799302.2777799204,6718053.665581496,56.0,261.7417087999927,38.1,2.4,0.0
10,10006793.0,146.67512675,-34.67789892,470239.0224555532,6162627.766718724,55.0,170.1285049087837,52.7,38.06,0.0
11,10040954.0,148.07982096,-34.25788938,599418.9388674804,6208721.752803033,55.0,387.3708774481182,25.0,4.446666666666666,0.4622649552895925
12,10010241.0,150.79642222,-32.20759037,857895.9851118524,6430228.71872174,56.0,273.56675767363356,39.6,30.413333333333334,7.29262793663726
13,10029119.0,149.92418853,-29.83565255,782557.1587315989,6695836.205237413,55.0,261.8699763636222,332.5,14.915,16.091549283190027
15,10017585.0,149.88420468,-31.29565246,774544.266561016,6534040.217241619,55.0,332.96517331138404,35.7,12.278636363636364,1.1099950673704713
18,10063627.0,148.53228636,-31.68927063,645226.4284160711,6492985.201256895,55.0,266.16188760000017,91.0,26.6321978021978,0.7926236891000936
19,10010717.0,147.04287722,-33.00178171,504005.3308887254,6348514.719288167,55.0,196.0,113.1,18.8475,2.564677123928078
20,10028376.0,150.65527958,-28.86564878,856613.4366620897,6801402.876612484,56.0,260.69541499714194,109.1,10.22,1.0769710612020484
21,10016966.0,147.3515732,-33.27567562,532740.0704813548,6318095.84066765,55.0,201.1077095999994,107.6,3.006,0.3675876312754099
22,10018327.0,149.5494,-30.1667,745512.1278951315,6659996.767643185,55.0,195.5039999999997,102.1,21.457276119402987,8.710423441813742
24,10040046.0,149.32697689,-29.87787802,724737.1656312745,6692472.42925609,55.0,174.7313594169923,83.5,41.18971153846154,3.565778304492575
25,10051987.0,149.7011364,-30.2673192,759864.9922996657,6648504.002957619,55.0,208.43046031974708,112.5,5.892771084337349,1.1820905651531637
27,10052434.0,150.25808138,-30.86870533,811541.6041531996,6580400.914239485,56.0,268.54469766847785,97.0,17.956266666666664,2.2195751985959435
28,10023725.0,151.0392,-28.804000000000002,894333.8611085489,6807024.965170053,56.0,268.4116800000008,92.0,17.384,1.5651785840599788
30,10072146.0,148.66697902,-33.82414366,654266.7455719588,6256092.943455175,55.0,287.6850489712781,6.0,6.79,0.0
31,10106552.0,146.42765093,-35.95124489,448383.53713104554,6021307.817898769,55.0,138.50740512603292,7.5,129.88705882352934,0.005703152773429582
32,10118201.0,150.52254788,-31.55593595,834413.016669059,6503399.764670065,56.0,317.04368267131787,4.0,2.543333333333333,0.9389829012761036
33,10065811.0,151.22181345,-33.38354684,892810.1987495819,6298219.886495543,56.0,190.63139484329085,91.5,6.1068099173553705,0.6458174948047327
34,10125082.0,150.50578862,-31.67531194,832395.7767831488,6490208.563701065,56.0,335.6420357105688,10.0,1.7575,0.6810607535308433
35,10125808.0,150.53747691,-31.56095035,835813.1247760734,6502797.730468608,56.0,324.1436990563388,8.29,2.9883333333333333,0.5439490376455827
40,10128225.0,147.5156,-31.985694399999996,548709.026489151,6461033.877964029,55.0,193.0,132.0,32.98,0.4368065933568304
44,10120403.0,147.4886755,-35.20084097,544483.398256788,6104574.713376198,55.0,249.01974653909724,56.0,1.69,0.0
45,10120982.0,147.49340423,-35.20163333,544913.4148178915,6104484.713030168,55.0,232.50575164956157,70.0,-0.5140625,1.7989821069409642
64,10011355.0,150.94112467,-31.10453277,875971.8027967138,6552126.520133366,56.0,384.83052871150477,12.3,4.098181818181819,0.3272702020104595
65,10060757.0,148.88256495,-32.41732467,677021.8472749675,6411746.111792363,55.0,379.8641579094277,38.0,14.83,3.8284287464528672
66,10054737.0,151.63696937,-32.49425071,935823.2668337905,6395291.383088423,56.0,106.78918756686217,19.8,3.293333333333333,1.5671914014851183
67,10075475.0,148.29899685,-35.27594716,618139.693358046,6095581.250416662,55.0,332.53937095583217,15.0,0.32,0.0
68,10025863.0,149.55755657,-32.79565729,739498.6159964461,6368469.689515943,55.0,645.6179308506132,18.3,5.2,1.0708252269472671
69,10019575.0,147.62899918,-34.60678122,557670.8543129908,6170382.199889408,55.0,293.9333989993533,89.9,59.8,0.0
