Easting,Northing,RL
922711.497,6178335.798,-5603.011439
917863.252,6172993.293,-5572.211513
927819.985,6189227.178,-5472.912074
918113.291,6178543.943,-5422.59835
922963.98,6183886.572,-5390.062986
913267.927,6173199.286,-5348.847163
928074.579,6194778.063,-5344.733718
913020.338,6167648.756,-5335.560782
912772.435,6162098.208,-5332.622633
913515.2,6178749.799,-5256.320637
928328.846,6200328.932,-5186.591607
923216.14,6189437.33,-5148.821638
986503.982,6253158.907,-5130.740668
991428.416,6258473.778,-5111.355383
918363.011,6184094.577,-5081.025091
907691.567,6151201.302,-5063.021249
979715.001,6303598.266,-5039.013976
907937.32,6156751.751,-5037.358794
981865.696,6253394.563,-5013.494153
933195.011,6205667.781,-5002.777662
908182.763,6162302.181,-4990.148722
923467.978,6194988.071,-4971.785948
986787.265,6258711.537,-4958.397464
991714.047,6264026.573,-4955.450512
923719.493,6200538.797,-4939.962149
908427.894,6167852.594,-4934.896221
979989.56,6309150.481,-4892.740981
908672.715,6173402.989,-4877.984414
977227.55,6253627.944,-4873.026256
982146.257,6258947.023,-4831.897046
991999.304,6269579.361,-4820.665116
928582.788,6205879.785,-4806.727177
902864.275,6145852.912,-4781.195302
903107.558,6151403.248,-4769.454516
992284.185,6275132.144,-4761.865298
902620.686,6140302.559,-4754.582813
979440.076,6298046.042,-4739.574601
987070.177,6264264.16,-4732.276089
983821.905,6292261.621,-4716.920283
977505.39,6259180.236,-4710.228519
903350.533,6156953.564,-4699.686287
908917.224,6178953.365,-4698.967152
913762.159,6184300.294,-4693.834569
972589.544,6253859.051,-4684.219889
918612.413,6189645.194,-4657.12101
933451.371,6211218.765,-4642.293816
903593.201,6162503.862,-4581.093204
896591.155,6107200.716,-4574.127696
891308.458,6090748.317,-4539.582968
938325.237,6216555.743,-4523.242604
891549.171,6096298.593,-4518.646099
982426.451,6264499.476,-4513.154182
896833.778,6112751.057,-4502.803649
987352.718,6269816.776,-4500.611772
891067.446,6085198.02,-4499.668134
898283.156,6146052.693,-4473.749571
898523.658,6151602.898,-4462.45405
987916.687,6280921.987,-4442.659151
897076.098,6118301.378,-4441.406905
890826.135,6079647.704,-4439.993682
943204.376,6221890.725,-4437.964199
891789.587,6101848.849,-4431.047712
898042.351,6140502.468,-4424.036648
903835.562,6168054.141,-4421.210868
972864.664,6259411.177,-4417.569012
923970.686,6206089.506,-4398.703725
897318.116,6123851.68,-4397.46545
897801.242,6134952.225,-4385.237105
890584.527,6074097.368,-4382.011974
897559.831,6129401.962,-4376.922413
987634.888,6275369.385,-4373.216407
928836.403,6211430.623,-4365.975331
886755.541,6090944.744,-4364.254048
886993.44,6096494.899,-4339.107669
898763.856,6157153.083,-4337.306068
975596.019,6314931.924,-4336.234356
890342.621,6068547.011,-4330.901899
975324.511,6309379.891,-4321.592451
892029.704,6107399.085,-4319.082717
933707.402,6216769.734,-4292.090197
886517.347,6085394.569,-4287.056061
890100.418,6062996.635,-4286.708097
977782.867,6264732.52,-4279.352762
983543.55,6286709.208,-4279.080906
975867.166,6320483.948,-4255.425228
918861.496,6195195.795,-4249.62578
968224.076,6259639.846,-4225.252522
938583.677,6222106.847,-4223.737589
979164.787,6292493.81,-4219.424284
886278.858,6079844.373,-4216.161877
892269.521,6112949.301,-4211.67731
904077.615,6173604.401,-4209.215525
958409.035,6248987.086,-4194.125758
887231.044,6102045.033,-4181.285383
943465.219,6227441.966,-4175.226022
953244.074,6238106.25,-4172.000573
886040.075,6074294.156,-4161.689706
948352.02,6232775.098,-4156.674825
893939.865,6151800.252,-4151.88025
899003.75,6162703.249,-4145.363202
909161.421,6184503.724,-4134.274639
982706.278,6270051.921,-4128.12484
975052.64,6303827.849,-4126.214802
885800.998,6068743.918,-4119.107248
892509.04,6118499.496,-4119.031916
976137.95,6326035.963,-4118.179014
893702.144,6146250.176,-4108.774685
963583.626,6259866.243,-4105.695194
958676.348,6254538.733,-4088.957551
885561.626,6063193.66,-4084.637374
882202.723,6091138.862,-4078.01539
914008.802,6189850.772,-4071.417912
882437.808,6096688.897,-4057.486783
885321.961,6057643.381,-4055.918951
892748.26,6124049.672,-4045.656118
885082.002,6052093.082,-4031.490438
887468.353,6107595.146,-4021.550258
893464.123,6140700.08,-4011.682007
884841.749,6046542.761,-4010.41254
970928.43,6315158.905,-4010.067713
971196.896,6320710.757,-4007.283887
892987.181,6129599.828,-3996.504601
929089.691,6216981.445,-3992.671575
884601.203,6040992.42,-3992.05085
881967.347,6085588.806,-3989.171246
893225.801,6135149.964,-3980.080511
953509.357,6243657.762,-3977.299367
933963.102,6222320.689,-3977.179557
884360.364,6035442.058,-3975.953798
983264.827,6281156.786,-3972.628033
884119.232,6029891.675,-3961.783451
904319.359,6179154.643,-3961.456144
951742.967,6304941.893,-3952.677447
948614.917,6238326.467,-3951.648183
883877.806,6024341.271,-3949.275567
938841.782,6227657.936,-3947.83264
976408.371,6331587.968,-3945.284064
881731.679,6080038.728,-3940.437558
883636.089,6018790.847,-3938.21603
973139.424,6264963.293,-3934.262185
943725.723,6232993.193,-3931.929553
924221.555,6211640.199,-3930.858564
894177.286,6157350.309,-3929.707507
883394.078,6013240.402,-3928.426589
953774.295,6249209.262,-3927.182882
974780.407,6298275.797,-3912.219552
971465.003,6326262.598,-3910.339008
881495.72,6074488.63,-3908.694815
919110.259,6200746.378,-3905.25842
899243.34,6168253.396,-3899.478884
970659.606,6309607.044,-3891.276653
958943.311,6260090.369,-3889.451297
881259.471,6068938.51,-3885.319297
887705.367,6113145.239,-3882.288274
881022.931,6063388.368,-3866.839784
957186.949,6321377.665,-3861.604525
966526.771,6320935.312,-3856.948188
982985.736,6275604.357,-3854.195662
880786.1,6057838.206,-3851.620325
880548.979,6052288.022,-3838.795736
882672.602,6102238.91,-3836.858401
956926.521,6315826.321,-3830.059098
880311.568,6046737.817,-3827.862704
880073.868,6041187.59,-3818.499137
954038.886,6254760.75,-3817.999025
961856.789,6321157.615,-3817.400432
966260.985,6315383.632,-3811.433785
948877.473,6243877.822,-3810.59374
879835.877,6035637.342,-3810.478218
879597.597,6030087.073,-3803.626046
966792.201,6326486.982,-3802.292237
962119.544,6326709.114,-3797.821675
879359.027,6024536.782,-3797.800384
879120.168,6018986.47,-3792.879849
878881.02,6013436.136,-3788.758296
