Easting,Northing,RL
810517.015,6926513.923,-1330.936684
810374.851,6920970.578,-1330.185964
805585.408,6926639.289,-1320.1349
805445.509,6921096.094,-1317.500279
751115.809,6916802.087,-1298.815658
756041.548,6916698.599,-1298.451444
746190.179,6916903.559,-1295.984957
760847.468,6911051.084,-1294.504335
751231.011,6922343.82,-1294.096978
746303.116,6922445.171,-1293.277766
741264.655,6917003.018,-1291.685115
755923.887,6911156.711,-1291.161922
751000.417,6911260.321,-1288.767423
741375.328,6922544.511,-1288.635994
756159.015,6922240.456,-1288.213659
746077.054,6911361.915,-1287.588731
741153.798,6911461.492,-1286.493256
736339.235,6917100.463,-1285.340658
760967.398,6916593.098,-1285.007041
736230.645,6911559.053,-1284.209691
746415.866,6927986.751,-1283.145229
751346.022,6927885.521,-1281.54457
736447.645,6922641.84,-1280.90878
741485.818,6928085.972,-1279.480511
731307.594,6911654.598,-1276.737211
731413.917,6917195.894,-1275.536738
736121.875,6906017.609,-1274.569451
756276.286,6927782.281,-1272.413486
736555.875,6928183.184,-1271.794193
741042.757,6905919.933,-1271.466171
731201.096,6906113.268,-1270.689149
731520.064,6922737.158,-1270.07445
761087.129,6922135.08,-1269.287525
746528.429,6933528.298,-1268.710978
745963.742,6905820.238,-1266.392025
741596.124,6933627.4,-1266.186217
751460.841,6933427.189,-1265.32699
774081.706,6844210.838,-1264.479664
726384.643,6911748.127,-1263.55396
726488.699,6917289.313,-1262.150955
731626.034,6928278.388,-1260.769061
726280.415,6906206.908,-1259.155502
750884.833,6905718.524,-1259.144041
736663.925,6933724.495,-1258.992562
726592.583,6922830.464,-1256.378627
731094.421,6900571.904,-1254.882002
736012.926,6900476.133,-1254.844489
756393.362,6933324.074,-1254.562654
773952.249,6838668.032,-1254.213135
761206.662,6927677.031,-1252.837823
746640.804,6939069.813,-1251.999097
741706.246,6939168.795,-1250.260322
769185.31,6844324.084,-1249.027899
726176.015,6900665.655,-1248.889451
721461.79,6911839.641,-1248.653548
755806.031,6905614.79,-1248.503683
731731.828,6933819.584,-1248.126651
740931.533,6900378.341,-1248.122202
751575.469,6938968.826,-1247.515828
769058.171,6838781.406,-1247.281274
726696.294,6928371.582,-1246.992126
721563.579,6917380.718,-1246.568498
721359.832,6906298.53,-1246.285202
736771.794,6939265.773,-1243.416292
774210.955,6849753.612,-1242.699918
773822.583,6833125.195,-1240.857229
721665.2,6922921.76,-1240.538467
721257.706,6900757.386,-1239.689626
800653.934,6926762.641,-1239.203773
730987.57,6895030.507,-1236.91791
756510.244,6938865.835,-1235.879748
765893.361,6916485.581,-1235.695451
745850.243,6900278.528,-1235.635039
726071.442,6895124.368,-1235.406507
761325.996,6933218.95,-1235.22833
726799.833,6933912.667,-1234.440269
746752.991,6944611.295,-1234.208577
768930.827,6833238.697,-1233.439699
800516.299,6921219.594,-1233.134253
716539.032,6911929.14,-1232.8606
735903.797,6894934.623,-1232.817584
741816.185,6944710.158,-1232.713008
731837.446,6939360.747,-1232.644944
778846.441,6838552.609,-1232.528651
716439.344,6906388.135,-1232.426968
766015.357,6922027.692,-1231.401198
721766.652,6928462.769,-1231.107386
778978.217,6844095.545,-1230.798253
721155.411,6895216.207,-1230.047671
716638.555,6917470.11,-1229.75
778714.452,6833009.641,-1229.288185
751689.905,6944510.431,-1229.176558
716339.491,6900847.097,-1228.667216
764164.205,6838892.732,-1226.675524
736879.484,6944807.018,-1225.704064
765771.162,6910943.439,-1225.653187
760727.34,6905509.038,-1225.601542
764289.026,6844435.284,-1223.938475
716737.914,6923011.046,-1223.260378
716239.474,6895306.023,-1222.19042
766137.151,6927569.771,-1221.78613
740820.125,6894836.716,-1221.733551
769312.244,6849866.73,-1221.457978
725966.698,6889583.047,-1220.867128
730880.544,6889489.076,-1219.074316
726903.199,6939453.718,-1219.037884
721052.948,6889674.994,-1218.691212
721867.936,6934003.744,-1218.666297
711518.949,6906475.723,-1217.684351
756626.93,6944407.564,-1217.086795
761445.131,6938760.838,-1216.60935
773692.708,6827582.327,-1216.580447
711616.368,6912016.624,-1216.347367
711421.37,6900934.788,-1216.30807
750769.058,6900176.694,-1215.989785
746864.99,6950152.745,-1215.987545
