Easting,Northing,RL
811312.242,6599134.057,164.6597741
811472.887,6604679.339,199.3245197
792747.125,6621851.481,202.8156692
806678.568,6604817.058,216
801728.677,6599407.611,223.3158399
797548.526,6621720.569,226.2198028
811151.359,6593588.745,227.0272977
811633.295,6610224.593,227.3871546
801884.363,6604952.633,230
806836.5,6610362.179,230
806520.403,6599271.906,237.5133718
797396,6616175.765,237.600607
802039.818,6610497.625,240
802350.038,6621587.52,245
806362.005,6593726.726,248.3407649
806994.198,6615907.272,250
807308.892,6626997.369,253.061575
802504.802,6627132.423,253.8297337
801572.763,6593862.559,256.3197652
806203.373,6588181.515,259.9999997
797700.825,6627265.343,260
810990.239,6588043.404,264.9969567
811793.466,6615769.818,271.1035653
811953.4,6621315.014,276.9056512
802195.043,6616042.587,281.4293537
807151.662,6621452.335,299.3206884
