Bore,Latitude,Longitude,Cl,cl_d_stdev,cl_d_skew,cl_d_mean,cl_d_final,rainann,R,geol,Group,Count,BoreDepth
GW013369,-30.81,150.25,820.3,0.51,-0.0699,5.69,6.16,608,0.75,5,Dunes,2,22.3
GW015657,-31.13,149.83,26.7,0.45,0.9171,5.74,5.77,655,21.62,5,Dunes,2,25
GW060929,-31.17,150.45,225,0.65,-0.407,6.18,6.54,639,2.91,5,Dunes,2,45.1
GW034839,-30.25,149.51,13.51,0.43,2.8538,5.51,5.42,618,40.09,5,Dunes,3,24.3
GW014542,-31.01,149.89,76.4,0.43,0.7408,5.61,5.76,637,7.54,5,Dunes,2,25.9
GW028161,-31.16,150.44,51.94,0.65,-0.407,6.18,6.54,639,12.6,5,Dunes,2,32.3
GW036508,-31.1,149.87,73.74,0.44,0.9523,5.69,5.75,653,7.8,5,Dunes,3,84
GW036460,-30.84,150.21,18.25,0.5,-0.0455,5.66,6.09,612,33.37,5,Dunes,2,0
GW021267,-30.15,149.61,28.34,0.38,2.6169,5.65,5.58,626,19.7,5,Dunes,6,60
GW006232,-30.18,149.7,868.83,0.37,2.557,5.6,5.62,639,0.65,5,Dunes,2,46.9
GW037942,-30.27,149.51,19.85,0.43,2.8538,5.51,5.42,618,27.29,5,Dunes,2,53.3
GW025323,-30.11,149.56,17.78,0.41,2.6993,5.67,5.55,618,31.23,5,Dunes,14,0
GW017544,-32.83,151.73,34.39,5.93,0.0521,78.65,72.98,1080,212.22,5,Dunes,2,9.1
GW036507,-31.1,149.89,70.2,0.45,0.7023,5.7,5.8,641,8.27,5,Dunes,2,31
GW021091,-30.92,150.29,39.99,0.54,-0.2058,5.79,6.24,632,15.61,5,Dunes,2,24.4
GW030445,-30.27,149.6,51.49,0.4,2.6417,5.51,5.48,626,10.65,5,Dunes,21,0
GW030052,-30.71,150.15,69.52,0.46,0.1657,5.6,6.05,615,8.7,5,Dunes,21,27.4
GW030003,-31.25,150.51,131.17,0.71,-0.4155,6.44,6.69,637,5.1,5,Dunes,9,70.4
GW021434,-30.28,149.6,32.95,0.4,2.6441,5.47,5.46,629,16.57,5,Dunes,5,48.8
GW025325,-30.14,149.55,24.36,0.4,2.7138,5.62,5.52,619,22.68,5,Dunes,51,0
GW036476,-30.87,150.26,27.21,0.52,-0.1122,5.71,6.16,623,22.65,5,Dunes,4,95
GW030452,-30.25,149.54,30.44,0.43,2.7255,5.49,5.43,621,17.83,5,Dunes,11,0
GW036509,-31.01,149.88,77.64,0.43,0.7408,5.61,5.76,637,7.42,5,Dunes,2,93
GW038122,-30.32,149.56,52.87,0.43,2.7571,5.45,5.4,629,10.22,5,Dunes,3,41.7
GW037302,-34.1,150.55,258.93,2.52,-0.2488,19.13,16.48,960,6.36,5,Dunes,6,62.4
GW021435,-30.29,149.59,33.87,0.4,2.6441,5.47,5.46,629,16.12,5,Dunes,14,0
GW036495,-30.94,149.89,85.18,0.44,0.7414,5.62,5.8,634,6.81,5,Dunes,4,0
GW021094,-30.91,150.32,36.81,0.54,-0.2058,5.79,6.24,620,16.96,5,Dunes,9,27.7
GW014643,-30.94,149.88,76.67,0.44,0.7414,5.62,5.8,634,7.57,5,Dunes,2,29.1
GW030005,-31.27,150.48,46.74,0.71,-0.4155,6.44,6.69,647,14.32,5,Dunes,11,45.7
GW036297,-31.21,150.49,69.26,0.69,-0.4198,6.33,6.65,637,9.61,5,Dunes,10,71.9
GW036515,-31.01,149.86,65.82,0.43,1.0031,5.6,5.71,640,8.68,5,Dunes,4,0
GW036039,-31.15,150.5,62.93,0.68,-0.4176,6.23,6.61,637,10.51,5,Dunes,4,0
GW017157,-31.14,149.88,70.55,0.46,0.6873,5.77,5.8,665,8.22,5,Dunes,2,25
GW021271,-30.09,149.62,1865.22,0.38,2.6372,5.69,5.61,624,0.3,5,Dunes,4,43.3
GW047734,-32.89,151.74,225.45,7.39,0.2998,83.57,78.3,1101,34.73,5,Dunes,2,2.6
GW021269,-30.12,149.61,244.77,0.38,2.6372,5.69,5.61,625,2.29,5,Dunes,8,29.3
GW021438,-30.33,149.58,107.83,0.4,2.6164,5.43,5.43,633,5.04,5,Dunes,4,40.8
GW025344,-30.07,149.57,166.49,0.41,2.6652,5.71,5.58,615,3.35,5,Dunes,4,36
GW036129,-31.25,150.51,289.74,0.71,-0.4155,6.44,6.69,637,2.31,5,Dunes,8,38.3
GW053439,-31.18,150.46,158.43,0.67,-0.4108,6.28,6.58,638,4.15,5,Dunes,2,57
GW035565,-31.08,149.86,266.61,0.44,0.9523,5.69,5.75,653,2.16,5,Dunes,3,12.8
GW036656,-30.85,149.9,286.82,0.42,0.7866,5.54,5.77,628,2.01,5,Dunes,2,93
GW016789,-31.01,150.12,207.02,0.49,0.0486,5.73,6.01,703,2.9,5,Dunes,2,23.2
GW036546,-30.85,149.92,280.43,0.42,0.7866,5.54,5.77,628,2.06,5,Dunes,3,97
GW036130,-31.25,150.51,917.68,0.71,-0.4155,6.44,6.69,637,0.73,5,Dunes,8,53.6
GW024749,-31.08,149.85,168.4,0.44,0.9523,5.69,5.75,670,3.42,5,Dunes,1,0
GW040244,-30.2,149.72,235,0.37,2.557,5.6,5.62,642,2.39,5,Dunes,1,0
GW054010,-34.1,150.56,95.01,2.52,-0.2488,19.13,16.48,944,17.34,5,Dunes,1,3
GW054829,-33.07,151.64,37,9.17,0.5589,85.61,81.78,1144,221.02,5,Dunes,1,5.7
GW052267,-33.06,151.65,170,9.17,0.5589,85.61,81.78,1151,48.1,5,Dunes,1,6
GW055049,-33.01,151.71,80,8.3,0.4672,84.76,80.37,1141,100.47,5,Dunes,1,6
GW062106,-32.93,151.76,66.65,10.09,0.6456,90.85,86.08,1136,129.16,5,Dunes,1,6.1
GW054766,-32.93,151.75,40,10.09,0.6456,90.85,86.08,1136,215.21,5,Dunes,1,6.5
GW080084,-32.74,151.99,33,9.44,0.5412,95.62,88.37,1204,267.78,5,Dunes,1,7.08
GW061003,-32.77,151.74,65,3.96,-0.3913,63.6,57.3,1063,88.15,5,Dunes,1,8
GW060358,-32.83,151.85,32.26,9.9,0.6067,93.1,87.22,1154,270.37,5,Dunes,1,8.5
GW080079,-32.81,151.84,41,6.21,0.0965,82.15,75.85,1141,185.01,5,Dunes,1,8.57
GW060010,-32.88,151.8,62.04,9.51,0.5805,90.77,80.99,1140,130.54,5,Dunes,1,11.7
GW054683,-32.87,151.8,73,7.82,0.334,86.1,80.35,1116,110.07,5,Dunes,1,12.8
GW054682,-32.78,151.9,57,7.38,0.2856,87.34,80.87,1172,141.87,5,Dunes,1,13
GW003706,-30.99,150.09,1957.01,0.49,0.0486,5.73,6.01,661,0.31,5,Dunes,1,15.2
GW034447,-30.14,149.56,18.01,0.4,2.7138,5.62,5.52,619,30.68,5,Dunes,1,16.5
GW036474,-30.91,150.25,88.63,0.52,-0.1515,5.74,6.17,645,6.96,5,Dunes,1,17
GW037470,-30.9,150.3,69.13,0.54,-0.2058,5.79,6.24,632,9.03,5,Dunes,1,18.2
GW057597,-33.01,151.71,310,8.3,0.4672,84.76,80.37,1141,25.93,5,Dunes,1,20
GW035568,-31.09,149.87,68.07,0.44,0.9523,5.69,5.75,653,8.45,5,Dunes,1,21.3
GW027729,-31.19,150.48,413.03,0.69,-0.4198,6.33,6.65,639,1.61,5,Dunes,1,21.5
GW047438,-32.76,151.97,26.94,9.02,0.4602,93.17,86.16,1197,319.81,5,Dunes,1,21.5
GW047439,-32.75,151.98,25.88,9.44,0.5412,95.62,88.37,1216,341.44,5,Dunes,1,21.8
GW014549,-30.96,149.88,175.95,0.44,0.7414,5.62,5.8,634,3.3,5,Dunes,1,23.3
GW034891,-30.88,150.11,166.63,0.48,0.0908,5.61,5.97,650,3.58,5,Dunes,1,23.3
GW027371,-31.15,150.45,1097.62,0.65,-0.407,6.18,6.54,638,0.6,5,Dunes,1,24.4
GW028167,-31.11,150.43,225.13,0.64,-0.3974,6.1,6.51,638,2.89,5,Dunes,1,24.4
GW027361,-31.07,150.47,3699.17,0.63,-0.382,6.07,6.5,631,0.18,5,Dunes,1,25
GW051319,-30.88,150.11,114,0.48,0.0908,5.61,5.97,650,5.23,5,Dunes,1,26
GW018203,-31.01,150.46,165.92,0.62,-0.364,6.03,6.5,626,3.91,5,Dunes,1,26.8
GW060134,-30.88,150.26,26.24,0.52,-0.1515,5.74,6.17,634,23.51,5,Dunes,1,27.4
GW036496,-30.94,149.86,59.92,0.42,1.0179,5.56,5.69,639,9.5,5,Dunes,1,28
GW001658,-30.29,149.63,87.99,0.38,2.55,5.5,5.52,634,6.27,5,Dunes,1,28.9
GW037471,-30.9,150.3,41.83,0.54,-0.2058,5.79,6.24,632,14.92,5,Dunes,1,29.8
GW008806,-31.03,150.06,1567.02,0.48,0.1576,5.76,5.97,728,0.38,5,Dunes,1,29.9
GW049355,-31.11,150.53,1464.56,0.69,-0.413,6.26,6.69,637,0.46,5,Dunes,1,30
GW031896,-30.71,150.17,170,0.46,0.1657,5.6,6.05,625,3.56,5,Dunes,1,30.5
GW034446,-30.12,149.57,23.01,0.41,2.6993,5.67,5.55,618,24.13,5,Dunes,1,30.5
GW047278,-30.86,150.23,17.02,0.52,-0.1122,5.71,6.16,621,36.21,5,Dunes,1,30.5
GW008807,-31.02,150.06,778.19,0.48,0.1774,5.7,5.95,661,0.76,5,Dunes,1,32
GW044787,-30.91,149.86,210,0.43,1.0033,5.58,5.73,648,2.73,5,Dunes,1,34.1
GW045044,-30.98,150.14,857.96,0.5,-0.0584,5.75,6.07,659,0.71,5,Dunes,1,34.1
GW027356,-30.97,150.12,904.05,0.48,0.0694,5.67,5.99,652,0.66,5,Dunes,1,35.4
GW037902,-30.94,149.89,83.31,0.44,0.7414,5.62,5.8,634,6.96,5,Dunes,1,36.5
GW042201,-32.11,148.37,28.08,0.44,2.1159,5.11,4.94,578,17.59,5,Dunes,1,36.6
GW010032,-30.98,149.73,107.99,0.45,1.5398,5.6,5.61,678,5.2,5,Dunes,1,37.4
GW016226,-32.1,148.37,48.93,0.44,2.1159,5.11,4.94,578,10.09,5,Dunes,1,37.5
GW042937,-30.93,150.29,26.94,0.55,-0.2392,5.81,6.25,626,23.19,5,Dunes,1,37.8
GW036459,-30.81,150.21,24.46,0.49,-0.0006,5.64,6.09,609,24.88,5,Dunes,1,39
GW026991,-32.1,148.42,109.35,0.44,2.0409,5.15,4.97,574,4.54,5,Dunes,1,39.6
GW028166,-31.1,150.42,114.87,0.62,-0.3778,6.06,6.44,638,5.61,5,Dunes,1,40.2
GW007817,-32.1,148.44,169.69,0.45,1.9704,5.2,5,573,2.94,5,Dunes,1,42.7
GW031897,-30.71,150.17,99,0.46,0.1657,5.6,6.05,625,6.11,5,Dunes,1,42.7
GW053792,-30.26,149.52,117.35,0.43,2.8538,5.51,5.42,618,4.62,5,Dunes,1,42.7
GW006035,-30.81,149.06,78.99,1.42,5.2596,5.61,4.92,600,6.23,5,Dunes,1,44.1
GW034910,-30.94,150.06,54.95,0.47,0.1966,5.64,5.93,642,10.79,5,Dunes,1,44.8
GW022497,-31,150.14,574.34,0.5,-0.0584,5.75,6.07,659,1.06,5,Dunes,1,45.7
GW001602,-30.73,150.17,1113,0.47,0.1279,5.58,6.01,630,0.54,5,Dunes,1,46.9
GW014539,-31.03,149.84,4968.05,0.44,0.9811,5.65,5.73,653,0.12,5,Dunes,1,50
GW038979,-30.69,150.19,99.27,0.48,0.1063,5.62,6.08,622,6.13,5,Dunes,1,51.2
GW055937,-30.81,150.2,19,0.49,-0.0006,5.64,6.09,609,32.03,5,Dunes,1,51.5
GW038285,-30.92,149.82,109.9,0.42,1.3079,5.52,5.62,658,5.12,5,Dunes,1,51.8
GW037873,-30.82,150.2,19.14,0.49,-0.0006,5.64,6.09,609,31.8,5,Dunes,1,52.7
GW015561,-30.06,149.73,1089.79,0.35,2.4839,5.83,5.81,652,0.53,5,Dunes,1,55.4
GW012363,-30.99,149.83,330.95,0.43,1.0031,5.6,5.71,641,1.73,5,Dunes,1,56.9
GW029900,-30.24,149.53,38.29,0.43,2.7255,5.49,5.43,619,14.17,5,Dunes,1,59.4
GW047511,-30.25,149.56,25.88,0.43,2.7255,5.49,5.43,625,20.97,5,Dunes,1,60.9
GW034335,-30.24,149.52,22.34,0.43,2.8538,5.51,5.42,616,24.25,5,Dunes,1,61
GW045045,-30.98,150.13,54.95,0.5,-0.0584,5.75,6.07,659,11.05,5,Dunes,1,62.5
GW049121,-30.26,149.51,25.53,0.43,2.8538,5.51,5.42,618,21.22,5,Dunes,1,62.8
GW016936,-30.88,149.89,167.98,0.43,0.766,5.58,5.79,662,3.44,5,Dunes,1,66.4
GW013061,-30.96,149.78,84.98,0.43,1.2949,5.56,5.64,652,6.64,5,Dunes,1,69.4
GW000743,-30.72,150.27,102,0.5,0.0401,5.69,6.17,670,6.04,5,Dunes,1,70.4
GW006249,-30.99,150.14,818.96,0.5,-0.0584,5.75,6.07,659,0.74,5,Dunes,1,70.7
GW007476,-30.77,148.98,39.99,1.42,5.3938,5.55,4.88,584,12.21,5,Dunes,1,72.2
GW044884,-30.99,150.13,203.85,0.5,-0.0584,5.75,6.07,659,2.98,5,Dunes,1,73.2
GW047909,-31.07,150.31,585.33,0.57,-0.2906,5.91,6.28,647,1.07,5,Dunes,1,77.7
GW054355,-30.43,149.67,170,0.38,2.2764,5.37,5.44,644,3.2,5,Dunes,1,78.5
GW059148,-31.23,150.48,32.97,0.71,-0.4155,6.44,6.69,636,20.3,5,Dunes,1,81.5
GW045061,-31,150.14,733.88,0.5,-0.0584,5.75,6.07,659,0.83,5,Dunes,1,84.1
GW010621,-30.52,149.12,63,0.94,4.7142,5.33,4.94,581,7.85,5,Dunes,1,84.4
GW036131,-31.25,150.49,46.09,0.71,-0.4155,6.44,6.69,647,14.52,5,Dunes,1,86.9
GW000020,-30.35,149.66,60.98,0.38,2.4885,5.45,5.49,639,9.01,5,Dunes,1,91.4
GW013056,-30.04,149.84,63,0.36,2.1807,5.9,5.94,677,9.42,5,Dunes,1,91.4
GW032390,-30.14,149.59,23.04,0.38,2.6169,5.65,5.58,622,24.23,5,Dunes,1,94.7
GW026092,-30.13,149.55,21.98,0.4,2.7138,5.62,5.52,619,25.13,5,Dunes,1,97.5
GW001604,-30.75,149.08,45.98,1.25,5.0195,5.55,4.96,602,10.79,5,Dunes,1,99
GW080416,-32.53,149.99,110,1.08,0.2845,7.78,6.62,690,6.02,9,Liver,2,11.5
GW016899,-31.59,150.1,45.8,0.64,-0.0164,6.62,6.28,761,13.71,9,Liver,2,12.2
GW016898,-31.6,150.11,60.9,0.64,-0.0164,6.62,6.28,762,10.31,9,Liver,2,13.1
GW015394,-31.6,150.2,231.5,0.66,-0.1789,6.54,6.35,694,2.74,9,Liver,2,15.2
GW022049,-31.49,150.36,95.4,0.73,-0.2786,6.82,6.65,667,6.97,9,Liver,2,41.8
GW006199,-31.52,150.32,80.9,0.7,-0.265,6.73,6.56,651,8.11,9,Liver,2,65.5
GW030977,-31.84,149.91,102.55,0.66,0.2571,6.67,6.12,742,5.97,9,Liver,2,15.5
GW967390,-30.13,150.09,16.5,0.36,1.8965,6.1,6.31,909,38.21,9,Liver,2,16.5
GW012058,-32.14,150.06,106.25,0.74,0.137,6.84,6.31,601,5.94,9,Liver,2,77.1
GW017541,-31.95,150.61,39.35,1.2,0.2905,8.36,7.43,834,18.87,9,Liver,6,9.1
GW043481,-31.45,149.12,36.16,0.85,3.4177,5.54,5.07,963,14.02,9,Liver,5,30.4
GW017391,-31.96,150.61,38.35,1.2,0.2905,8.36,7.43,837,19.36,9,Liver,3,26.2
GW056153,-31.93,150.38,58.16,0.95,0.0487,7.53,6.87,690,11.8,9,Liver,2,35.4
GW006012,-30.15,149.73,552.39,0.36,2.5619,5.67,5.7,650,1.03,9,Liver,2,52.4
GW001913,-32.21,148.58,54.95,0.43,1.6942,5.34,5.12,602,9.32,9,Liver,2,44.5
GW053371,-32.06,150.39,70.56,1.02,0.1418,7.74,6.94,616,9.83,9,Liver,2,7.5
GW036491,-32.2,148.56,60.09,0.42,1.7429,5.29,5.09,582,8.47,9,Liver,4,55
GW034930,-32.08,150.31,455.28,0.94,0.0928,7.49,6.74,656,1.48,9,Liver,6,19.5
GW036411,-31.61,150.28,39.94,0.71,-0.2238,6.71,6.51,671,16.3,9,Liver,3,35.1
GW049660,-32.16,150.21,263,0.87,0.0635,7.24,6.56,602,2.5,9,Liver,2,20.7
GW043978,-32.28,150.48,663.61,1.42,0.4462,8.86,7.5,683,1.13,9,Liver,5,67
GW032162,-31.82,149.82,86,0.51,0.3414,6.02,5.87,827,6.82,9,Liver,1,5.8
GW063800,-31.94,150.05,49,0.71,0.0632,6.7,6.26,695,12.79,9,Liver,1,6.5
GW047636,-31.96,150.61,36.16,1.2,0.2905,8.36,7.43,837,20.54,9,Liver,1,7
GW037868,-31.96,150.48,44.32,1.07,0.158,7.92,7.13,882,16.08,9,Liver,1,7.3
GW080413,-32.34,149.96,210,0.86,0.2771,7.09,6.32,630,3.01,9,Liver,1,8.5
GW011262,-34.61,150.3,74.17,1.71,0.0936,12.72,11.69,1120,15.76,9,Liver,1,9.4
GW018452,-31.65,149.86,21,0.56,0.4392,6.31,5.95,937,28.35,9,Liver,1,12.2
GW042237,-32.18,148.63,687.53,0.43,1.6493,5.38,5.15,585,0.75,9,Liver,1,12.2
GW037381,-32.26,150.5,492.8,1.36,0.4165,8.71,7.43,597,1.51,9,Liver,1,14.3
GW018451,-31.63,149.82,62.9,0.55,0.5689,6.24,5.89,888,9.36,9,Liver,1,15.2
GW052890,-32.14,150.3,268,0.98,0.1311,7.58,6.78,638,2.53,9,Liver,1,15.5
GW016524,-31.69,150.2,130,0.7,-0.1275,6.68,6.4,894,4.92,9,Liver,1,15.8
GW044383,-32.09,150.3,110,0.94,0.0928,7.49,6.74,636,6.13,9,Liver,1,16
GW050251,-34.61,150.31,17.73,1.71,0.0936,12.72,11.69,1164,65.91,9,Liver,1,16.1
