# depth (m),temp,temp_corrected
10.01,18.75,18.739688
25.01,17.72,17.694247
50.01,15.68,15.628583
60.01,16.09,16.028357
70.01,16.47,16.398161
80.01,16.75,16.668001
90.01,16.89,16.797881
100.01,17.09,16.987806
110.01,17.26,17.147781
120.01,17.4,17.277811
130.01,17.55,17.4179
140.01,17.69,17.548054
150.01,17.85,17.698276
160.01,18,17.838573
170.01,18.16,17.988947
180.01,18.32,18.139405
190.01,18.5,18.309949
200.01,18.67,18.470585
210.01,18.86,18.651317
220.01,19.03,18.812149
224.56,19.1,18.878012
