# depth (m),temp,temp_corrected
10,18.348,18.337327
25,17.734,17.70783
30,17.455,17.423893
40,17.11,17.069238
50,16.433,16.381414
60,16.536,16.473971
70,16.66,16.588609
80,16.773,16.690848
90,17,16.907873
100,17.145,17.042793
110,17.264,17.151394
120,17.403,17.280617
130,17.532,17.400189
140,17.668,17.526394
150,17.809,17.657297
160,18.033,17.871154
170,18.318,18.146911
180,18.604,18.423882
190,18.848,18.657547
200,19.042,18.842284
210,19.251,19.042044
220,19.479,19.261243
230,19.713,19.486195
240,19.976,19.739774
250,20.225,19.980603
260,20.456,20.20243
270,20.712,20.44957
280,20.933,20.662299
290,21.144,20.865353
300,21.384,21.097204
310,21.614,21.31895
315,21.733,21.433464
333,22.382,22.068338
345,22.834,22.511697
350,22.966,22.6403
355,23.096,22.765639
370,23.528,23.186969
380,23.723,23.374922
385,23.816,23.464363
390,23.928,23.57286
401.6,24.08,23.717444
