# depth (m),temp,temp_corrected
10,14.97,14.959698
25,15.74,15.714257
50,15.98,15.928593
60,15.8,15.738367
70,15.83,15.758172
80,15.86,15.778011
90,15.91,15.817891
100,15.98,15.877816
110,16.04,15.927791
120,16.13,16.007821
130,16.23,16.09791
140,16.33,16.188064
150,16.45,16.298286
160,16.57,16.408582
170,16.7,16.528957
180,16.86,16.679414
190,17.04,16.849959
200,17.22,17.020595
210,17.42,17.211327
220,17.61,17.392159
230,17.79,17.563095
240,18,17.764139
250,18.19,17.945296
260,18.4,18.146568
270,18.63,18.367961
280,18.87,18.599477
290,19.12,18.84112
300,19.34,19.052894
310,19.57,19.274802
310.86,19.59,19.294112
