# depth (m),temp,temp_corrected
10,21.319,21.308698
25,20.62,20.594257
50,20.905,20.853593
60,21.152,21.090367
70,21.383,21.311172
80,21.841,21.759011
90,22.227,22.134891
100,22.525,22.422816
110,23.065,22.952791
120,23.361,23.238821
130,23.9,23.76791
140,24.632,24.490064
150,25.098,24.946286
160,25.723,25.561582
170,25.993,25.821957
180,26.336,26.155414
190,26.635,26.444959
200,27.074,26.874595
210,27.828,27.619327
220,28.504,28.286159
230,28.999,28.772095
240,29.668,29.432139
250,30.017,29.772296
260,30.548,30.294568
270,31.157,30.894961
280,31.57,31.299477
290,32.016,31.73712
300,32.487,32.199894
