# depth (m),temp,temp_corrected
10,17.48,17.469698
25,17.87,17.844257
50,18.57,18.518593
60,18.85,18.788367
70,19.14,19.068172
80,19.4,19.318011
90,19.71,19.617891
100,20.04,19.937816
110,20.47,20.357791
120,20.89,20.767821
130,21.18,21.04791
140,21.34,21.198064
150,21.48,21.328286
160,21.63,21.468582
170,21.77,21.598957
180,21.92,21.739414
190,22.14,21.949959
200,22.3,22.100595
210,22.47,22.261327
220,22.64,22.422159
230,22.82,22.593095
240,22.97,22.734139
250,23.1,22.855296
260,23.24,22.986568
270,23.3,23.037961
280,23.5,23.229477
290,23.66,23.38112
300,23.79,23.502894
310,23.92,23.624802
