# depth (m),temp,temp_corrected
10,23.92,23.909698
25,22.228,22.202257
50,21.045,20.993593
60,20.822,20.760367
70,20.676,20.604172
80,20.572,20.490011
90,20.501,20.408891
100,19.277,19.174816
110,19.425,19.312791
120,19.557,19.434821
130,19.682,19.54991
140,19.79,19.648064
150,19.918,19.766286
160,20.041,19.879582
170,20.175,20.003957
180,20.343,20.162414
190,20.492,20.301959
200,20.67,20.470595
210,20.827,20.618327
220,21.01,20.792159
230,21.186,20.959095
240,21.334,21.098139
250,21.482,21.237296
260,21.628,21.374568
266.11,21.723,21.464295
