# depth (m),temp,temp_corrected
10,25.338,25.327698
25,22.698,22.672257
50,18.284,18.232593
60,18.361,18.299367
70,18.469,18.397172
80,18.63,18.548011
90,18.723,18.630891
100,18.829,18.726816
110,18.996,18.883791
120,19.1,18.977821
130,19.306,19.17391
140,19.488,19.346064
150,19.66,19.508286
160,19.826,19.664582
170,19.976,19.804957
175,20.063,19.887175
180,20.145,19.964414
190,20.295,20.104959
200,20.485,20.285595
210,20.674,20.465327
220,20.83,20.612159
230,20.995,20.768095
240,21.152,20.916139
250,21.353,21.108296
255,21.449,21.199917
255.54,21.453,21.203446
