# depth (m),temp,temp_corrected
10,19.182,19.171698
25,19.437,19.411257
50,19.693,19.641593
60,19.309,19.247367
70,19.565,19.493172
80,19.821,19.739011
90,20.077,19.984891
100,20.332,20.229816
110,20.588,20.475791
120,20.881,20.758821
130,21.356,21.22391
140,21.739,21.597064
150,21.995,21.843286
160,22.123,21.961582
170,22.251,22.079957
180,22.469,22.288414
190,22.634,22.443959
200,22.762,22.562595
210,22.89,22.681327
220,23.146,22.928159
230,23.274,23.047095
245.01,23.529,23.288694
250,23.606,23.361296
260,23.657,23.403568
270,23.785,23.522961
280,23.913,23.642477
290,24.041,23.76212
300,24.169,23.881894
310,24.297,24.001802
320,24.425,24.121847
330,24.552,24.241033
334.77,24.68,24.365356
