# depth (m),temp,temp_corrected
10,18.42,18.409698
25,18.09,18.064257
50,18.54,18.488593
60,18.81,18.748367
70,19.13,19.058172
80,19.55,19.468011
90,19.91,19.817891
100,20.19,20.087816
110,20.32,20.207791
120,20.46,20.337821
130,20.6,20.46791
140,20.74,20.598064
150,20.99,20.838286
160,21.18,21.018582
170,21.35,21.178957
180,21.52,21.339414
190,21.69,21.499959
200,21.88,21.680595
210,22.06,21.851327
220,22.21,21.992159
230,22.37,22.143095
240,22.51,22.274139
250,22.68,22.435296
260,22.85,22.596568
270,23.02,22.757961
