# depth (m),temp,temp_corrected
400.1,41.57,41.208442
420,42.301,41.926493
440,43.359,42.972141
460,44.197,43.798466
480,45.084,44.674482
500,45.976,45.5562
520,46.801,46.371626
540,47.53,47.09177
560,48.321,47.874633
580,49.217,48.763221
600,50.372,49.911532
620,51.381,50.914566
640,52.215,51.74332
660,52.955,52.478789
680,53.836,53.355966
700,54.664,54.180844
720,55.597,55.111411
740,56.403,55.915657
760,57.193,56.704568
780,58.206,57.71713
800,59.109,58.620328
820,59.941,59.453144
840,60.747,60.26056
860,61.419,60.934558
880,62.584,62.102117
900,63.431,62.952216
920,64.539,64.063833
940,65.742,65.270946
960,66.411,65.944532
980,67.205,66.743567
1000,68.073,67.617028
1005.7,68.161,67.706659
