# depth (m),temp,temp_corrected
10,20.65,20.639698
25,19.87,19.844257
50,20.83,20.778593
60,21.22,21.158367
70,21.6,21.528172
80,22.08,21.998011
90,22.54,22.447891
100,22.99,22.887816
110,23.55,23.437791
120,24.04,23.917821
130,24.49,24.35791
140,24.99,24.848064
150,25.53,25.378286
160,25.93,25.768582
170,26.29,26.118957
180,26.7,26.519414
190,27.14,26.949959
200,27.6,27.400595
220,28.32,28.102159
240,29.15,28.914139
260,30.09,29.836568
280,31.15,30.879477
300,32.23,31.942894
320,33.3,32.996847
340,34.85,34.531362
360,35.96,35.626463
380,36.86,36.512172
400,38,37.638509
420,39.23,38.855493
440,40.4,40.013141
442.9,40.55,40.161406
