# depth (m),temp,temp_corrected
10,21.729,21.718698
25,20.824,20.798257
50,18.433,18.381593
60,18.488,18.426367
70,18.556,18.484172
80,18.641,18.559011
90,18.733,18.640891
100,18.854,18.751816
110,18.974,18.861791
120,19.136,19.013821
130,19.312,19.17991
140,19.487,19.345064
150,19.644,19.492286
160,19.784,19.622582
170,19.939,19.767957
180,20.123,19.942414
190,20.267,20.076959
200,20.393,20.193595
210,20.548,20.339327
220,20.686,20.468159
230,20.837,20.610095
240,20.99,20.754139
250,21.204,20.959296
254,21.285,21.036791
