# depth (m),temp,temp_corrected
0,14.2362,14.2362
0.1524,14.2362,14.236043
0.3048,14.2362,14.235886
0.4572,14.2362,14.235729
0.6096,14.2362,14.235572
0.762,14.2362,14.235415
0.9144,14.2362,14.235258
1.0668,14.2362,14.235101
1.2192,14.2362,14.234944
1.3716,14.2362,14.234787
1.524,14.2362,14.23463
1.6764,14.2362,14.234473
1.8288,14.2362,14.234316
1.9812,14.2362,14.234159
2.1336,14.2362,14.234002
2.286,14.2362,14.233845
2.4384,14.2362,14.233688
2.5908,14.2169,14.214231
2.7432,14.1942,14.191374
2.8956,14.1768,14.173817
3.048,14.1602,14.15706
3.2004,14.1516,14.148303
3.3528,14.1451,14.141646
3.5052,14.138,14.134389
3.6576,14.1307,14.126932
3.81,14.1255,14.121575
3.9624,14.1242,14.120118
4.1148,14.1334,14.129161
4.2672,14.1483,14.143904
4.4196,14.1602,14.155647
4.572,14.1686,14.16389
4.7244,14.1777,14.172833
4.8768,14.1862,14.181176
5.0292,14.2014,14.196219
5.1816,14.2433,14.237962
5.334,15.2793,15.273805
5.4864,15.2189,15.213248
5.6388,15.236,15.230191
5.7912,15.2971,15.291134
5.9436,15.3665,15.360377
6.096,15.4103,15.40402
6.2484,15.4045,15.398063
6.4008,15.392,15.385406
6.5532,15.3784,15.371649
6.7056,15.376,15.369092
6.858,15.3834,15.376335
7.0104,15.3962,15.388978
7.1628,15.4292,15.421821
7.3152,15.47,15.462464
7.4676,15.5142,15.506507
7.62,15.5672,15.55935
7.7724,15.6188,15.610793
7.9248,15.6635,15.655336
8.0772,15.7053,15.696979
8.2296,15.7428,15.734322
8.382,15.7819,15.773265
8.5344,15.819,15.810208
8.6868,15.8543,15.845351
8.8392,15.8915,15.882394
8.9916,15.927,15.917737
9.144,15.9581,15.94868
9.2964,15.9917,15.982123
9.4488,16.0191,16.009366
9.6012,16.0375,16.027609
9.7536,16.0456,16.035552
9.906,16.0448,16.034595
10.0584,16.0464,16.036038
10.2108,16.0514,16.040881
10.3632,16.0596,16.048924
10.5156,16.0778,16.066967
10.668,16.1029,16.09191
10.8204,16.1412,16.130053
10.9728,16.1822,16.170896
11.1252,16.2175,16.206039
11.2776,16.2424,16.230782
11.43,16.252,16.240226
11.5824,16.2503,16.238369
11.7348,16.2467,16.234612
11.8872,16.2501,16.237855
12.0396,16.2738,16.261398
12.192,16.3099,16.297341
12.3444,16.3553,16.342584
12.4968,16.405,16.392127
12.6492,16.4548,16.44177
12.8016,16.5015,16.488313
12.954,16.5454,16.532056
13.1064,16.5744,16.560899
13.2588,16.5922,16.578542
13.4112,16.6019,16.588085
13.5636,16.6081,16.594128
13.716,16.6214,16.607271
13.8684,16.6401,16.625814
14.0208,16.6585,16.644057
14.1732,16.6782,16.6636
14.3256,16.6942,16.679444
14.478,16.7066,16.691687
14.6304,16.7151,16.70003
14.7828,16.7228,16.707573
14.9352,16.7312,16.715816
15.0876,16.7365,16.720959
15.24,16.7408,16.725102
15.3924,16.7429,16.727045
15.5448,16.745,16.728988
15.6972,16.7479,16.731731
15.8496,16.7494,16.733074
16.002,16.7483,16.731817
16.1544,16.7461,16.729461
16.3068,16.7445,16.727704
16.4592,16.7449,16.727947
16.6116,16.7431,16.72599
16.764,16.7388,16.721533
16.9164,16.735,16.717576
17.0688,16.7291,16.711519
17.2212,16.7194,16.701662
17.3736,16.7091,16.691205
17.526,16.7016,16.683548
17.6784,16.7003,16.682092
17.8308,16.7031,16.684735
17.9832,16.7071,16.688578
18.1356,16.7095,16.690821
18.288,16.7098,16.690964
18.4404,16.7107,16.691707
18.5928,16.7146,16.69545
18.7452,16.7237,16.704393
18.8976,16.7381,16.718636
19.05,16.7578,16.73818
19.2024,16.7768,16.757023
19.3548,16.7907,16.770766
19.5072,16.8011,16.781009
19.6596,16.8077,16.787452
19.812,16.8149,16.794495
19.9644,16.8268,16.806238
20.1168,16.841,16.820282
20.2692,16.8556,16.834725
20.4216,16.8695,16.848468
20.574,16.8807,16.859511
20.7264,16.887,16.865654
20.8788,16.8937,16.872197
21.0312,16.9061,16.88444
21.1836,16.9237,16.901884
21.336,16.9435,16.921527
21.4884,16.9622,16.94007
21.6408,16.9758,16.953513
21.7932,16.9864,16.963956
21.9456,16.995,16.972399
22.098,17.0052,16.982443
22.2504,17.0178,16.994886
22.4028,17.031,17.007929
22.5552,17.0431,17.019872
22.7076,17.0523,17.028915
22.86,17.0587,17.035159
23.0124,17.0634,17.039702
23.1648,17.068,17.044145
23.3172,17.0717,17.047688
23.4696,17.0755,17.051331
23.622,17.0797,17.055375
23.7744,17.084,17.059518
23.9268,17.0861,17.061461
24.0792,17.0876,17.062804
24.2316,17.0897,17.064747
24.384,17.0951,17.069991
24.5364,17.1021,17.076834
24.6888,17.1107,17.085277
24.8412,17.1215,17.09592
24.9936,17.1332,17.107464
25.146,17.1454,17.119507
25.2984,17.1582,17.13215
25.4508,17.1712,17.144993
25.6032,17.1827,17.156336
25.7556,17.192,17.16548
25.908,17.1997,17.173023
26.0604,17.208,17.181166
26.2128,17.2185,17.191509
26.3652,17.2325,17.205353
26.5176,17.2463,17.218996
26.67,17.2577,17.230239
26.8224,17.27,17.242383
26.9748,17.2799,17.252126
27.1272,17.2884,17.260469
27.2796,17.2953,17.267212
27.432,17.3022,17.273956
27.5844,17.3099,17.281499
27.7368,17.3166,17.288042
27.8892,17.3212,17.292485
28.0416,17.3233,17.294429
28.194,17.3225,17.293472
28.3464,17.3223,17.293115
28.4988,17.322,17.292659
28.6512,17.3235,17.294002
28.8036,17.3251,17.295445
28.956,17.3273,17.297489
29.1084,17.3301,17.300132
29.2608,17.3328,17.302675
29.4132,17.3356,17.305319
29.5656,17.3386,17.308162
29.718,17.3433,17.312705
29.8704,17.3488,17.318049
30.0228,17.3552,17.324292
30.1752,17.3604,17.329335
30.3276,17.366,17.334779
30.48,17.3721,17.340722
30.6324,17.3792,17.347665
30.7848,17.3865,17.354809
30.9372,17.3937,17.361852
31.0896,17.3995,17.367495
31.242,17.405,17.372839
31.3944,17.4089,17.376582
31.5468,17.4159,17.383425
31.6992,17.422,17.389369
31.8516,17.4284,17.395612
32.004,17.4361,17.403156
32.1564,17.4439,17.410799
32.3088,17.4511,17.417842
32.4612,17.4587,17.425286
32.6136,17.4665,17.432929
32.766,17.4747,17.440973
32.9184,17.4827,17.448816
33.0708,17.4908,17.456759
33.2232,17.4991,17.464903
33.3756,17.5076,17.473246
33.528,17.5158,17.48129
33.6804,17.5237,17.489033
33.8328,17.532,17.497176
33.9852,17.5402,17.50522
34.1376,17.5489,17.513763
34.29,17.5579,17.522607
34.4424,17.5673,17.53185
34.5948,17.5757,17.540094
34.7472,17.5839,17.548137
34.8996,17.5926,17.556681
35.052,17.6019,17.565824
35.2044,17.6095,17.573268
35.3568,17.618,17.581611
35.5092,17.6267,17.590154
35.6616,17.6358,17.599098
35.814,17.6436,17.606741
35.9664,17.6511,17.614085
36.1188,17.6584,17.621228
36.2712,17.6673,17.629972
36.4236,17.6763,17.638815
36.576,17.6846,17.646959
36.7284,17.6924,17.654602
36.8808,17.7004,17.662446
37.0332,17.7094,17.671289
37.1856,17.7184,17.680133
37.338,17.7283,17.689876
37.4904,17.7369,17.69832
37.6428,17.7451,17.706364
37.7952,17.7529,17.714007
37.9476,17.7615,17.722451
38.1,17.7705,17.731294
38.2524,17.7794,17.740038
38.4048,17.7884,17.748881
38.5572,17.7974,17.757725
38.7096,17.8067,17.766868
38.862,17.8151,17.775112
39.0144,17.8226,17.782456
39.1668,17.8286,17.788299
39.3192,17.8338,17.793343
39.4716,17.8384,17.797786
39.624,17.8412,17.80043
39.7764,17.8449,17.803974
39.9288,17.8469,17.805817
40.0812,17.8486,17.807361
40.2336,17.8487,17.807304
40.386,17.8487,17.807148
40.5384,17.8489,17.807192
40.6908,17.8508,17.808935
40.8432,17.8537,17.811679
40.9956,17.8564,17.814222
41.148,17.8598,17.817466
41.3004,17.863,17.82051
