# depth (m),temp,temp_corrected
10,16.075,16.064698
25,16.384,16.358257
50,16.755,16.703593
60,16.858,16.796367
70,16.987,16.915172
80,17.12,17.038011
90,17.002,16.909891
100,16.924,16.821816
110,16.967,16.854791
120,17.079,16.956821
130,17.144,17.01191
140,17.257,17.115064
150,17.373,17.221286
160,17.502,17.340582
170,17.61,17.438957
180,17.753,17.572414
190,17.963,17.772959
200,18.154,17.954595
210,18.519,18.310327
220,18.923,18.705159
230,19.209,18.982095
240,19.561,19.325139
250,19.941,19.696296
260,20.193,19.939568
270,20.438,20.175961
280,20.663,20.392477
290,20.961,20.68212
291.84,21.012,20.731597
