# depth (m),temp,temp_corrected
10,12.66,12.649698
25,13.299,13.273257
50,18.67,18.618593
60,19.054,18.992367
70,19.309,19.237172
80,19.693,19.611011
90,20.077,19.984891
100,20.46,20.357816
110,20.588,20.475791
120,20.716,20.593821
130,20.844,20.71191
140,21.035,20.893064
150,21.228,21.076286
160,21.356,21.194582
170,21.483,21.311957
180,21.611,21.430414
190,21.739,21.548959
200,21.867,21.667595
210,21.995,21.786327
220,22.123,21.905159
230,22.361,22.134095
240,22.506,22.270139
250,22.634,22.389296
260,22.762,22.508568
270,22.89,22.627961
280,23.018,22.747477
290,23.146,22.86712
300,23.402,23.114894
301.73,23.402,23.113484
