Well name,Longitude,Latitude,Depth,Basin,dTdz,sigma_dTdz,dTcdz,sigma_dTcdz
GBD2,150.946178973,-32.629346508,301.35,Sydney  ,0.0399589285714286,0.024235923947032126,0.039010665484693875,0.02426712644022743
Stanton 1,148.6219306,-24.12344444,1839.0,Bowen,-0.03646603174603175,0.03352389348233832,-0.03746703284126984,0.03353592163092395
DM Baerami Creek DDH02,150.439434,-32.557603,360.32,Sydney,0.04420668549905842,0.017061146191132526,0.04333379913684868,0.017162749931377924
Jericho 1,146.0847278,-23.7704,2786.4,Bowen,0.037653944098448085,0.011343172109042295,0.03772665586127713,0.011289194606317788
Travis 2,150.466791698,-34.463482025,232.36,Sydney  ,-0.02005804129294552,0.06698696317474112,-0.02103385894908387,0.06701386735781238
Russell Jarvie 2,150.610671312,-33.519032634,219.0,Sydney  ,-0.000892692720813043,0.03130473536251765,-0.00187249741675618,0.031329620679161306
Yamboyna 1,148.2633167,-23.43372778,1032.0,Bowen,0.009398496240601503,0.0,0.009348475563909784,0.0
Cape Three Points,151.434472361,-33.465084569,609.0,Sydney,0.0,0.0,0.0,0.0
Northbridge GC 1,151.22320332,-33.81221358,199.0,Sydney,-0.017629303781856894,0.07725035240288548,-0.018616949299949608,0.07726668222137015
Lantern 1,149.812978,-29.119267,2077.0,Gunnedah/Bowen,0.0,0.0,0.0,0.0
Winter Hill Run 1,150.15007411,-34.58170808,162.0,Sydney  ,-0.0005955676805503159,0.056465810496908145,-0.0015967498168151142,0.056477223688504226
Moranbah 1,148.12218601,-21.99707182,636.05,Bowen,0.055000000000000014,0.0036514837167010996,0.05429606777777777,0.0037226753912791687
Warrong 1,147.894725,-25.16121944,1089.0,Bowen,0.05166051660516609,0.0,0.0520010516605166,0.0
Withnall 1,151.641703,-32.854361,928.3,Sydney,0.009272222222222204,0.007787803062687603,0.00825067833333338,0.007789168865246524
RDH Munmorah 1,151.54,-33.21,1621.6884,Sydney,0.03690393039810069,0.05623899992333994,0.0367808094974549,0.05621040624724076
Glenlee 06,150.7421226,-34.0752314,903.27,Sydney,0.02386835954552856,0.009967839582187124,0.023359756293144327,0.010319453859210025
GW75402_2,150.638985171,-34.531279767,146.0,Sydney,0.010882933333333329,0.0037244729524233996,0.009889392133333345,0.0037393418007240125
North Castlereagh 1,150.67805004,-33.638706005,1320.3,Sydney,0.040633356053059295,0.0,0.04078331410894982,0.0
Bohena 1,149.60781044,-30.523987207,1650.0,Gunnedah,0.017519280345109894,0.0014979728872680786,0.017576324752926583,0.001777988477574919
GW040969,150.643643772,-34.53063999,143.0,Sydney,0.01880333333333338,0.0023733029024266585,0.01783813833333333,0.002389871392594515
GW40973,150.625694613,-34.529828159,145.0,Sydney,0.00408516483516483,0.021254972354171526,0.0030781161355311467,0.02126524295953496
